cell_id,Penelope superciliaris,Penelope superciliaris pseudonyma,Penelope superciliaris [superciliaris Group]
848a313ffffffff,2.0,0.0,0.0
84a8917ffffffff,1.0,0.0,0.0
84a91d1ffffffff,1.0,0.0,0.0
84a91dbffffffff,2.0,0.0,0.0
84a9465ffffffff,24.0,0.0,0.0
84a950dffffffff,6.0,0.0,0.0
84a953bffffffff,6.0,0.0,0.0
84a9559ffffffff,4.0,0.0,0.0
84a95abffffffff,3.0,0.0,0.0
