cell_id,Erythropitta macklotii,Erythropitta macklotii habenichti,Erythropitta macklotii [macklotii Group],Erythropitta macklotii finschii
827297fffffffff,18.0,0.0,0.0,0.0
8272a7fffffffff,17.0,0.0,0.0,0.0
8272b7fffffffff,1.0,0.0,0.0,0.0
8272d7fffffffff,4.0,2.0,0.0,0.0
8272dffffffffff,5.0,5.0,0.0,0.0
8272f7fffffffff,87.0,87.0,0.0,0.0
82739ffffffffff,229.0,0.0,0.0,0.0
829c1ffffffffff,231.0,0.0,0.0,0.0
829c8ffffffffff,2.0,0.0,0.0,0.0
829c9ffffffffff,3.0,3.0,0.0,0.0
829caffffffffff,38.0,0.0,0.0,0.0
829cb7fffffffff,28.0,0.0,0.0,0.0
829cd7fffffffff,78.0,0.0,0.0,0.0
829cf7fffffffff,43.0,0.0,0.0,0.0
829d9ffffffffff,2.0,0.0,0.0,0.0
