cell_id,Leptotila plumbeiceps,Leptotila plumbeiceps plumbeiceps/notia,Leptotila plumbeiceps battyi/malae
824507fffffffff,51.0,2.0,0.0
82450ffffffffff,28.0,6.0,0.0
824527fffffffff,1253.0,27.0,0.0
82452ffffffffff,4766.0,198.0,0.0
824537fffffffff,121.0,2.0,0.0
824997fffffffff,23.0,11.0,0.0
82499ffffffffff,30.0,1.0,0.0
82661ffffffffff,1373.0,19.0,0.0
826687fffffffff,50.0,0.0,37.0
8266a7fffffffff,278.0,35.0,29.0
8266b7fffffffff,21.0,0.0,0.0
8266c7fffffffff,116.0,10.0,0.0
8266e7fffffffff,129.0,0.0,0.0
8266f7fffffffff,202.0,5.0,0.0
826797fffffffff,22.0,0.0,0.0
82679ffffffffff,37.0,0.0,0.0
8267b7fffffffff,2.0,0.0,0.0
826d27fffffffff,212.0,58.0,0.0
826d2ffffffffff,113.0,41.0,0.0
826d37fffffffff,315.0,66.0,0.0
826d67fffffffff,56.0,0.0,0.0
826d6ffffffffff,2435.0,0.0,0.0
