cell_id,Hirundapus caudacutus,Hirundapus caudacutus caudacutus,Hirundapus caudacutus nudipes
84209b5ffffffff,2.0,0.0,0.0
8424647ffffffff,4.0,0.0,0.0
842e1e7ffffffff,1.0,0.0,0.0
843015bffffffff,2.0,0.0,0.0
8430305ffffffff,2.0,0.0,0.0
84309bdffffffff,6.0,0.0,0.0
8431853ffffffff,2.0,0.0,0.0
8431aa5ffffffff,1.0,0.0,0.0
8431aa9ffffffff,1.0,0.0,0.0
843c0a5ffffffff,13.0,0.0,0.0
843c0adffffffff,6.0,0.0,0.0
843c199ffffffff,6.0,0.0,0.0
843c1d1ffffffff,2.0,0.0,0.0
843c527ffffffff,5.0,0.0,0.0
843c585ffffffff,2.0,0.0,0.0
843c58dffffffff,2.0,0.0,0.0
843c5a1ffffffff,4.0,0.0,0.0
843c5bdffffffff,1.0,0.0,0.0
843cc1dffffffff,1.0,0.0,0.0
843ce15ffffffff,2.0,0.0,0.0
843ce4dffffffff,6.0,0.0,0.0
843ce55ffffffff,2.0,0.0,0.0
843ce57ffffffff,9.0,0.0,0.0
843cec9ffffffff,2.0,0.0,0.0
843d041ffffffff,1.0,0.0,0.0
843d137ffffffff,2.0,0.0,0.0
843d143ffffffff,2.0,0.0,0.0
843d157ffffffff,2.0,0.0,0.0
844004dffffffff,1.0,0.0,0.0
84402d7ffffffff,1.0,0.0,0.0
8441037ffffffff,5.0,0.0,0.0
84411cbffffffff,3.0,0.0,0.0
8441315ffffffff,1.0,0.0,0.0
8441547ffffffff,3.0,0.0,0.0
8441891ffffffff,2.0,0.0,0.0
8441a43ffffffff,2.0,0.0,0.0
8441b43ffffffff,4.0,0.0,0.0
844b845ffffffff,1.0,0.0,0.0
844b86dffffffff,11.0,0.0,0.0
844ba05ffffffff,10.0,0.0,0.0
844ba0dffffffff,3.0,0.0,0.0
844ba21ffffffff,2.0,0.0,0.0
844ba2bffffffff,2.0,0.0,0.0
844ba3dffffffff,1.0,0.0,0.0
8460067ffffffff,2.0,2.0,0.0
846416dffffffff,15.0,0.0,0.0
8464323ffffffff,26.0,0.0,2.0
8464a5bffffffff,4.0,0.0,0.0
8464e49ffffffff,5.0,0.0,0.0
846502bffffffff,2.0,0.0,0.0
84651c9ffffffff,6.0,0.0,0.0
846520dffffffff,24.0,0.0,0.0
84658e3ffffffff,7.0,0.0,0.0
8465993ffffffff,4.0,0.0,0.0
8465b6bffffffff,2.0,0.0,0.0
8468119ffffffff,2.0,0.0,0.0
846811bffffffff,1.0,0.0,0.0
84685c7ffffffff,4.0,0.0,0.0
84685d1ffffffff,2.0,0.0,0.0
8469345ffffffff,4.0,0.0,0.0
8472a31ffffffff,2.0,0.0,0.0
847390bffffffff,3.0,0.0,0.0
84739b3ffffffff,2.0,0.0,0.0
848c6adffffffff,8.0,0.0,0.0
848cad5ffffffff,2.0,0.0,0.0
849413bffffffff,3.0,0.0,0.0
8494159ffffffff,1.0,0.0,0.0
849451dffffffff,3.0,0.0,0.0
8494803ffffffff,2.0,0.0,0.0
849c00bffffffff,2.0,0.0,0.0
849c215ffffffff,1.0,0.0,0.0
849c231ffffffff,2.0,0.0,0.0
849cd31ffffffff,1.0,0.0,0.0
84ba69dffffffff,6.0,0.0,0.0
84bb507ffffffff,2.0,0.0,0.0
84be08dffffffff,3.0,0.0,0.0
84be0e3ffffffff,1.0,0.0,0.0
84be185ffffffff,2.0,0.0,0.0
84be1a1ffffffff,1.0,0.0,0.0
84be401ffffffff,2.0,0.0,0.0
84be409ffffffff,4.0,0.0,0.0
84be441ffffffff,2.0,0.0,0.0
84be457ffffffff,2.0,0.0,0.0
84be4c9ffffffff,1.0,0.0,0.0
84be60dffffffff,1.0,0.0,0.0
84be617ffffffff,1.0,1.0,0.0
84be62bffffffff,2.0,0.0,0.0
84be63bffffffff,1.0,0.0,0.0
84be663ffffffff,1.0,0.0,0.0
84be729ffffffff,1.0,0.0,0.0
84be751ffffffff,2.0,0.0,0.0
84be769ffffffff,1.0,0.0,0.0
84be8d1ffffffff,4.0,0.0,0.0
84be8d9ffffffff,2.0,0.0,0.0
84beab7ffffffff,12.0,0.0,0.0
84bee3bffffffff,2.0,0.0,0.0
84bf4ddffffffff,2.0,0.0,0.0
84d8925ffffffff,1.0,0.0,0.0
84da9c9ffffffff,3.0,0.0,0.0
84daa91ffffffff,1.0,0.0,0.0
84daaabffffffff,2.0,0.0,0.0
