cell_id,Knipolegus aterrimus,Knipolegus aterrimus heterogyna,Knipolegus aterrimus aterrimus/anthracinus
828f57fffffffff,4.0,0.0,0.0
82a967fffffffff,1.0,0.0,0.0
82a96ffffffffff,3.0,0.0,0.0
82b21ffffffffff,2.0,0.0,0.0
82b247fffffffff,4.0,0.0,0.0
82b24ffffffffff,28.0,0.0,0.0
82b25ffffffffff,4.0,0.0,0.0
82b26ffffffffff,7.0,0.0,0.0
82b277fffffffff,2.0,0.0,0.0
82b2e7fffffffff,12.0,0.0,0.0
82b2effffffffff,5.0,0.0,0.0
82b347fffffffff,2.0,0.0,0.0
82b34ffffffffff,1.0,0.0,0.0
82b367fffffffff,6.0,0.0,0.0
82c2cffffffffff,8.0,0.0,0.0
82c2e7fffffffff,4.0,0.0,0.0
82c2effffffffff,7.0,0.0,0.0
82c327fffffffff,11.0,0.0,0.0
82c32ffffffffff,2.0,0.0,0.0
82ce97fffffffff,1.0,0.0,0.0
82df47fffffffff,1.0,0.0,0.0
