cell_id,Leptotila cassinii,Leptotila cassinii cerviniventris,Leptotila cassinii rufinucha,Leptotila cassinii cassinii
824527fffffffff,1924.0,7.0,0.0,0.0
82452ffffffffff,2053.0,0.0,0.0,0.0
824537fffffffff,305.0,5.0,0.0,0.0
826607fffffffff,3.0,0.0,0.0,0.0
82660ffffffffff,92.0,0.0,0.0,0.0
826617fffffffff,412.0,0.0,0.0,21.0
82661ffffffffff,106.0,0.0,0.0,0.0
8266a7fffffffff,2701.0,0.0,0.0,148.0
8266b7fffffffff,3076.0,0.0,6.0,0.0
8266e7fffffffff,1.0,0.0,0.0,0.0
826797fffffffff,39.0,0.0,0.0,0.0
82679ffffffffff,795.0,0.0,0.0,0.0
826d27fffffffff,57.0,6.0,0.0,0.0
826d2ffffffffff,194.0,20.0,0.0,0.0
826d67fffffffff,86.0,0.0,0.0,0.0
826d6ffffffffff,5437.0,0.0,0.0,0.0
