cell_id,Ploceus ocularis,Ploceus ocularis crocatus,Ploceus ocularis ocularis/suahelicus
825297fffffffff,2.0,0.0,0.0
82529ffffffffff,3.0,0.0,0.0
82589ffffffffff,2.0,0.0,0.0
8258d7fffffffff,6.0,2.0,0.0
8258dffffffffff,7.0,0.0,0.0
826a47fffffffff,2.0,0.0,0.0
826a4ffffffffff,4.0,0.0,0.0
826ac7fffffffff,269.0,5.0,0.0
826acffffffffff,330.0,5.0,0.0
826adffffffffff,299.0,3.0,0.0
826aeffffffffff,164.0,4.0,0.0
827a47fffffffff,414.0,0.0,0.0
827a4ffffffffff,157.0,0.0,0.0
827a67fffffffff,248.0,0.0,0.0
827a6ffffffffff,959.0,0.0,0.0
827acffffffffff,268.0,37.0,0.0
827adffffffffff,13.0,2.0,0.0
827aeffffffffff,6.0,0.0,0.0
827b4ffffffffff,116.0,0.0,0.0
827b5ffffffffff,21.0,0.0,0.0
827b6ffffffffff,9.0,0.0,0.0
82828ffffffffff,3.0,1.0,0.0
8282d7fffffffff,20.0,0.0,0.0
828307fffffffff,1.0,0.0,0.0
828317fffffffff,6.0,0.0,0.0
82831ffffffffff,19.0,0.0,0.0
828327fffffffff,2.0,0.0,0.0
828337fffffffff,9.0,0.0,0.0
8283affffffffff,2.0,0.0,0.0
829607fffffffff,46.0,4.0,0.0
82960ffffffffff,39.0,7.0,0.0
829617fffffffff,20.0,0.0,2.0
829627fffffffff,120.0,7.0,0.0
82962ffffffffff,47.0,8.0,0.0
829637fffffffff,43.0,0.0,1.0
829667fffffffff,2.0,0.0,0.0
82968ffffffffff,2.0,0.0,0.0
829697fffffffff,301.0,0.0,0.0
82969ffffffffff,4.0,0.0,0.0
8296a7fffffffff,16.0,0.0,2.0
8296affffffffff,1.0,0.0,0.0
8296b7fffffffff,131.0,0.0,8.0
8296e7fffffffff,2.0,0.0,0.0
829707fffffffff,77.0,0.0,8.0
82970ffffffffff,2.0,0.0,0.0
829717fffffffff,125.0,0.0,0.0
82971ffffffffff,154.0,0.0,5.0
829727fffffffff,5.0,0.0,0.0
82972ffffffffff,298.0,0.0,47.0
829737fffffffff,14.0,0.0,0.0
829747fffffffff,14.0,0.0,0.0
82974ffffffffff,167.0,10.0,0.0
829757fffffffff,208.0,11.0,0.0
82975ffffffffff,91.0,2.0,0.0
82978ffffffffff,77.0,0.0,0.0
829797fffffffff,1.0,0.0,0.0
82979ffffffffff,2.0,0.0,0.0
8297affffffffff,65.0,0.0,5.0
8297b7fffffffff,4.0,0.0,0.0
82ac8ffffffffff,54.0,0.0,0.0
82ac97fffffffff,23.0,0.0,0.0
82bc0ffffffffff,29.0,0.0,0.0
82bc1ffffffffff,99.0,0.0,11.0
82bc47fffffffff,1.0,0.0,0.0
82bc57fffffffff,3.0,0.0,0.0
82bc77fffffffff,55.0,0.0,3.0
82bc8ffffffffff,117.0,0.0,11.0
82bc9ffffffffff,19.0,0.0,0.0
82bcc7fffffffff,1.0,0.0,0.0
82bcd7fffffffff,991.0,0.0,150.0
82bcdffffffffff,19.0,0.0,5.0
82bce7fffffffff,705.0,0.0,557.0
82bcf7fffffffff,1329.0,0.0,259.0
