cell_id,Cisticola textrix,Cisticola textrix [major Group],Cisticola textrix textrix
83ad32fffffffff,153.0,0.0,53.0
83ad36fffffffff,55.0,0.0,20.0
83adaefffffffff,2.0,0.0,0.0
83bc40fffffffff,2.0,0.0,0.0
83bc46fffffffff,2.0,0.0,0.0
83bc49fffffffff,3.0,0.0,1.0
83bc4dfffffffff,5.0,0.0,2.0
83bc50fffffffff,3.0,1.0,0.0
83bc51fffffffff,3.0,0.0,0.0
83bc52fffffffff,5.0,0.0,0.0
83bc53fffffffff,2.0,0.0,0.0
83bc55fffffffff,8.0,1.0,0.0
83bc56fffffffff,2.0,0.0,0.0
83bc5efffffffff,3.0,0.0,0.0
83bc68fffffffff,38.0,0.0,10.0
83bc6afffffffff,75.0,0.0,37.0
83bc6bfffffffff,26.0,0.0,15.0
83bc71fffffffff,21.0,0.0,0.0
83bcc0fffffffff,8.0,8.0,0.0
83bcc1fffffffff,7.0,4.0,0.0
83bcc2fffffffff,117.0,32.0,0.0
83bcc3fffffffff,106.0,5.0,0.0
83bcc4fffffffff,19.0,8.0,0.0
83bcc5fffffffff,3.0,3.0,0.0
83bcc6fffffffff,81.0,28.0,0.0
83bccafffffffff,1.0,1.0,0.0
83bcccfffffffff,5.0,0.0,0.0
83bccefffffffff,2.0,2.0,0.0
83bcd0fffffffff,13.0,2.0,0.0
83bcd1fffffffff,52.0,19.0,0.0
83bcd2fffffffff,1.0,0.0,0.0
83bcd4fffffffff,6.0,0.0,0.0
83bcd5fffffffff,2.0,0.0,0.0
83bcdcfffffffff,98.0,10.0,0.0
83bce2fffffffff,1.0,0.0,0.0
83bce5fffffffff,3.0,2.0,0.0
83bce8fffffffff,10.0,2.0,0.0
83bce9fffffffff,11.0,0.0,0.0
83bcecfffffffff,1.0,0.0,0.0
83bceefffffffff,2.0,1.0,0.0
83bcf3fffffffff,13.0,7.0,0.0
83bcf5fffffffff,1.0,0.0,0.0
