cell_id,Phaethornis malaris,Phaethornis malaris malaris/insolitus,Phaethornis malaris [moorei Group],Phaethornis malaris margarettae
836641fffffffff,1.0,0.0,0.0,0.0
83665afffffffff,3.0,0.0,0.0,0.0
8366c0fffffffff,7.0,0.0,0.0,0.0
8366dafffffffff,14.0,0.0,14.0,0.0
8366dcfffffffff,3.0,0.0,0.0,0.0
8366defffffffff,4.0,0.0,2.0,0.0
8366e3fffffffff,15.0,0.0,2.0,0.0
838132fffffffff,6.0,0.0,0.0,6.0
838185fffffffff,26.0,0.0,0.0,26.0
838a45fffffffff,6.0,0.0,0.0,0.0
838b69fffffffff,6.0,0.0,0.0,0.0
838b74fffffffff,1.0,0.0,0.0,0.0
838b76fffffffff,1.0,0.0,0.0,0.0
838b9dfffffffff,4.0,0.0,0.0,0.0
838f46fffffffff,4.0,0.0,0.0,0.0
838f73fffffffff,2.0,0.0,0.0,0.0
