cell_id,Himantopus mexicanus,Himantopus mexicanus mexicanus,Himantopus mexicanus knudseni,Himantopus mexicanus melanurus,Himantopus mexicanus mexicanus x melanurus
831253fffffffff,5.0,0.0,0.0,0.0,0.0
831258fffffffff,11.0,0.0,0.0,0.0,0.0
831259fffffffff,7.0,1.0,0.0,0.0,0.0
83125bfffffffff,1.0,0.0,0.0,0.0,0.0
83128efffffffff,2.0,0.0,0.0,0.0,0.0
8312c1fffffffff,13.0,0.0,0.0,0.0,0.0
8312c2fffffffff,10.0,0.0,0.0,0.0,0.0
8312c3fffffffff,3.0,0.0,0.0,0.0,0.0
8312c9fffffffff,44.0,0.0,0.0,0.0,0.0
8312ccfffffffff,44.0,0.0,0.0,0.0,0.0
8312cdfffffffff,2.0,0.0,0.0,0.0,0.0
8312d0fffffffff,4.0,0.0,0.0,0.0,0.0
8312d1fffffffff,176.0,10.0,0.0,0.0,0.0
8312d4fffffffff,7.0,0.0,0.0,0.0,0.0
8312d8fffffffff,11.0,0.0,0.0,0.0,0.0
8312d9fffffffff,7.0,0.0,0.0,0.0,0.0
8312dafffffffff,13.0,0.0,0.0,0.0,0.0
8312dbfffffffff,14.0,0.0,0.0,0.0,0.0
8312dcfffffffff,8.0,0.0,0.0,0.0,0.0
8312ddfffffffff,93.0,2.0,0.0,0.0,0.0
8312e1fffffffff,3.0,0.0,0.0,0.0,0.0
8312e8fffffffff,3.0,0.0,0.0,0.0,0.0
8312ebfffffffff,5.0,0.0,0.0,0.0,0.0
8312ecfffffffff,14.0,2.0,0.0,0.0,0.0
8312f6fffffffff,6.0,0.0,0.0,0.0,0.0
831aa0fffffffff,11.0,2.0,0.0,0.0,0.0
831aa2fffffffff,3.0,0.0,0.0,0.0,0.0
832600fffffffff,4.0,0.0,0.0,0.0,0.0
832601fffffffff,5.0,0.0,0.0,0.0,0.0
832602fffffffff,2.0,0.0,0.0,0.0,0.0
832603fffffffff,2.0,0.0,0.0,0.0,0.0
832605fffffffff,11.0,0.0,0.0,0.0,0.0
832606fffffffff,8.0,4.0,0.0,0.0,0.0
832608fffffffff,8.0,0.0,0.0,0.0,0.0
83260afffffffff,9.0,2.0,0.0,0.0,0.0
83260bfffffffff,25.0,1.0,0.0,0.0,0.0
