cell_id,Phoenicurus ochruros,Phoenicurus ochruros gibraltariensis/aterrimus,Phoenicurus ochruros [ochruros Group]
830741fffffffff,2.0,0.0,0.0
830763fffffffff,2.0,0.0,0.0
83089afffffffff,2.0,2.0,0.0
830991fffffffff,2.0,0.0,0.0
830999fffffffff,2.0,2.0,0.0
83118afffffffff,6.0,0.0,0.0
831805fffffffff,1.0,0.0,0.0
831828fffffffff,19.0,5.0,0.0
83182cfffffffff,40.0,10.0,0.0
83182efffffffff,2.0,0.0,0.0
831846fffffffff,3.0,3.0,0.0
831849fffffffff,45.0,15.0,0.0
83184bfffffffff,19.0,2.0,0.0
831859fffffffff,4.0,0.0,0.0
83185bfffffffff,59.0,36.0,0.0
831870fffffffff,2.0,0.0,2.0
831876fffffffff,4.0,0.0,0.0
83192cfffffffff,2.0,0.0,0.0
831940fffffffff,9.0,0.0,2.0
831941fffffffff,1.0,0.0,1.0
831942fffffffff,15.0,8.0,0.0
831943fffffffff,2.0,0.0,0.0
831946fffffffff,6.0,0.0,4.0
831948fffffffff,3.0,3.0,0.0
83194efffffffff,1.0,1.0,0.0
831956fffffffff,3.0,2.0,0.0
831958fffffffff,2.0,2.0,0.0
831972fffffffff,5.0,0.0,0.0
831973fffffffff,2.0,0.0,2.0
831e02fffffffff,2.0,0.0,0.0
831e04fffffffff,2.0,0.0,0.0
831e05fffffffff,4.0,0.0,0.0
831e06fffffffff,19.0,0.0,0.0
831e0afffffffff,1.0,0.0,0.0
831e0bfffffffff,6.0,6.0,0.0
831e0efffffffff,1.0,0.0,0.0
831e12fffffffff,1.0,0.0,0.0
831e16fffffffff,3.0,2.0,0.0
831e1efffffffff,2.0,2.0,0.0
831e22fffffffff,3.0,1.0,0.0
831e32fffffffff,2.0,0.0,0.0
831e35fffffffff,8.0,1.0,0.0
831e36fffffffff,4.0,0.0,0.0
831e86fffffffff,2.0,2.0,0.0
831ea0fffffffff,3.0,0.0,0.0
831ea4fffffffff,8.0,5.0,0.0
