cell_id,Ramphocaenus melanurus,Ramphocaenus melanurus [rufiventris Group],Ramphocaenus melanurus [melanurus Group]
83450afffffffff,4.0,0.0,0.0
83450cfffffffff,4.0,0.0,0.0
834521fffffffff,3.0,2.0,0.0
834523fffffffff,1.0,0.0,0.0
834524fffffffff,11.0,0.0,0.0
834526fffffffff,2.0,0.0,0.0
83452afffffffff,16.0,7.0,0.0
83452efffffffff,26.0,0.0,0.0
834564fffffffff,2.0,0.0,0.0
835f01fffffffff,1.0,0.0,1.0
835f58fffffffff,9.0,0.0,9.0
835f5bfffffffff,3.0,0.0,3.0
836611fffffffff,2.0,0.0,0.0
836613fffffffff,2.0,0.0,0.0
836621fffffffff,9.0,0.0,0.0
8366b0fffffffff,6.0,6.0,0.0
8366b4fffffffff,1.0,1.0,0.0
8366b5fffffffff,6.0,3.0,3.0
8366d3fffffffff,4.0,0.0,0.0
8366defffffffff,2.0,0.0,1.0
836741fffffffff,7.0,0.0,2.0
836742fffffffff,1.0,0.0,0.0
83674cfffffffff,28.0,0.0,11.0
83674efffffffff,2.0,0.0,0.0
836751fffffffff,3.0,0.0,0.0
836752fffffffff,2.0,0.0,0.0
83675cfffffffff,4.0,0.0,0.0
83679afffffffff,1.0,1.0,0.0
83679bfffffffff,1.0,0.0,0.0
836d21fffffffff,2.0,0.0,0.0
836d2cfffffffff,1.0,0.0,0.0
836d31fffffffff,1.0,0.0,0.0
836d36fffffffff,2.0,0.0,0.0
836d60fffffffff,28.0,0.0,0.0
836d64fffffffff,9.0,0.0,0.0
836d65fffffffff,7.0,0.0,0.0
836d66fffffffff,10.0,0.0,0.0
836d69fffffffff,31.0,22.0,2.0
836d75fffffffff,1.0,0.0,0.0
83814afffffffff,6.0,0.0,6.0
83814dfffffffff,19.0,0.0,19.0
838185fffffffff,1.0,0.0,0.0
838a05fffffffff,1.0,0.0,0.0
838a24fffffffff,5.0,0.0,0.0
838a31fffffffff,1.0,0.0,0.0
838aa9fffffffff,2.0,0.0,2.0
838b4efffffffff,1.0,0.0,0.0
838b5cfffffffff,4.0,0.0,0.0
838b71fffffffff,2.0,0.0,0.0
838b82fffffffff,1.0,0.0,1.0
838b83fffffffff,2.0,0.0,2.0
838f40fffffffff,2.0,0.0,0.0
838f6bfffffffff,4.0,0.0,0.0
83a831fffffffff,2.0,0.0,2.0
83a833fffffffff,10.0,4.0,6.0
83a891fffffffff,3.0,0.0,3.0
