cell_id,Tyto javanica,Tyto javanica [javanica Group],Tyto javanica crassirostris
843c0a3ffffffff,8.0,0.0,0.0
843c193ffffffff,2.0,0.0,0.0
843c1d3ffffffff,2.0,0.0,0.0
843c581ffffffff,10.0,0.0,0.0
843c8d9ffffffff,1.0,0.0,0.0
843c8dbffffffff,2.0,0.0,0.0
843ca97ffffffff,2.0,0.0,0.0
843cab9ffffffff,3.0,0.0,0.0
843cb15ffffffff,2.0,0.0,0.0
843ce3bffffffff,4.0,0.0,0.0
843cf11ffffffff,1.0,0.0,0.0
843cf27ffffffff,2.0,0.0,0.0
843cf2dffffffff,2.0,0.0,0.0
843cf47ffffffff,3.0,0.0,0.0
843cf6dffffffff,2.0,0.0,0.0
843d34bffffffff,1.0,0.0,0.0
843d363ffffffff,2.0,0.0,0.0
843da69ffffffff,2.0,0.0,0.0
843db13ffffffff,2.0,0.0,0.0
8442cc7ffffffff,1.0,0.0,0.0
8442d95ffffffff,1.0,0.0,0.0
8442eebffffffff,2.0,0.0,0.0
846004dffffffff,2.0,0.0,0.0
8460069ffffffff,4.0,0.0,0.0
84600c7ffffffff,1.0,0.0,0.0
8460151ffffffff,4.0,0.0,0.0
8460153ffffffff,2.0,0.0,0.0
8460159ffffffff,3.0,0.0,0.0
846015bffffffff,1.0,0.0,0.0
8460221ffffffff,3.0,0.0,0.0
8460227ffffffff,13.0,0.0,0.0
8460313ffffffff,5.0,0.0,0.0
8460319ffffffff,3.0,0.0,0.0
846031bffffffff,3.0,0.0,0.0
84608b5ffffffff,2.0,0.0,0.0
84608b9ffffffff,1.0,1.0,0.0
84608ddffffffff,3.0,0.0,0.0
8460a91ffffffff,2.0,0.0,0.0
8460ad7ffffffff,2.0,0.0,0.0
8460b47ffffffff,3.0,0.0,0.0
84648c9ffffffff,1.0,0.0,0.0
8465029ffffffff,2.0,0.0,0.0
8465045ffffffff,1.0,0.0,0.0
84650e5ffffffff,7.0,0.0,0.0
846518bffffffff,2.0,0.0,0.0
84651d7ffffffff,3.0,0.0,0.0
84651d9ffffffff,5.0,0.0,0.0
846520dffffffff,18.0,0.0,0.0
846522dffffffff,2.0,2.0,0.0
8465263ffffffff,8.0,0.0,0.0
846526bffffffff,5.0,0.0,0.0
84659c3ffffffff,3.0,2.0,0.0
8468157ffffffff,1.0,0.0,0.0
8472da1ffffffff,7.0,0.0,0.0
8494803ffffffff,2.0,2.0,0.0
84948d3ffffffff,2.0,0.0,0.0
849a151ffffffff,2.0,0.0,0.0
849c237ffffffff,4.0,0.0,0.0
849d0b1ffffffff,2.0,0.0,0.0
849d467ffffffff,1.0,0.0,0.0
849d683ffffffff,1.0,0.0,0.0
849e025ffffffff,3.0,1.0,0.0
84b8a47ffffffff,2.0,0.0,0.0
84b9161ffffffff,4.0,0.0,0.0
84b990bffffffff,2.0,0.0,0.0
84bb5ebffffffff,29.0,7.0,0.0
84be0bdffffffff,2.0,2.0,0.0
84be0d3ffffffff,2.0,0.0,0.0
84be187ffffffff,3.0,3.0,0.0
84be401ffffffff,2.0,2.0,0.0
84be41bffffffff,3.0,3.0,0.0
84be46dffffffff,1.0,0.0,0.0
84be4a1ffffffff,3.0,1.0,0.0
84be4c9ffffffff,1.0,1.0,0.0
84be507ffffffff,2.0,0.0,0.0
84be539ffffffff,2.0,0.0,0.0
84be569ffffffff,2.0,0.0,0.0
84be617ffffffff,2.0,2.0,0.0
84be631ffffffff,2.0,2.0,0.0
84be635ffffffff,4.0,0.0,0.0
84be639ffffffff,2.0,0.0,0.0
84be63dffffffff,2.0,1.0,0.0
84be663ffffffff,2.0,2.0,0.0
84be6e7ffffffff,1.0,0.0,0.0
84be6ebffffffff,1.0,1.0,0.0
84be725ffffffff,4.0,4.0,0.0
84be72dffffffff,13.0,1.0,0.0
84bee01ffffffff,2.0,2.0,0.0
84bee19ffffffff,2.0,2.0,0.0
84bee1bffffffff,1.0,1.0,0.0
84bee45ffffffff,2.0,0.0,0.0
