cell_id,Argya striata,Argya striata [striata Group],Argya striata somervillei
82209ffffffffff,8.0,0.0,0.0
823c07fffffffff,38.0,0.0,0.0
823c0ffffffffff,17.0,0.0,0.0
823c17fffffffff,526.0,0.0,0.0
823c1ffffffffff,1299.0,7.0,0.0
823c37fffffffff,207.0,0.0,0.0
823c87fffffffff,513.0,0.0,0.0
823c8ffffffffff,2124.0,8.0,0.0
823c97fffffffff,804.0,0.0,0.0
823c9ffffffffff,80.0,0.0,0.0
823ca7fffffffff,406.0,0.0,0.0
823caffffffffff,1070.0,4.0,0.0
823cb7fffffffff,5294.0,0.0,0.0
823cc7fffffffff,6.0,0.0,0.0
823cd7fffffffff,4.0,0.0,0.0
823ce7fffffffff,1672.0,0.0,0.0
823ceffffffffff,12.0,0.0,0.0
823cf7fffffffff,4802.0,42.0,0.0
823d17fffffffff,12375.0,0.0,0.0
823d1ffffffffff,93.0,0.0,0.0
823d37fffffffff,963.0,0.0,0.0
823d87fffffffff,4284.0,0.0,0.0
823d8ffffffffff,1418.0,0.0,0.0
823d97fffffffff,1454.0,0.0,0.0
823d9ffffffffff,5320.0,0.0,0.0
823da7fffffffff,7621.0,0.0,0.0
823daffffffffff,3745.0,0.0,0.0
823db7fffffffff,1937.0,0.0,0.0
82424ffffffffff,457.0,0.0,0.0
824257fffffffff,32.0,0.0,0.0
82425ffffffffff,153.0,0.0,0.0
82426ffffffffff,817.0,0.0,0.0
8242c7fffffffff,908.0,0.0,0.0
8242cffffffffff,6159.0,0.0,0.0
8242d7fffffffff,42.0,0.0,0.0
8242dffffffffff,869.0,0.0,0.0
8242e7fffffffff,34.0,0.0,0.0
8242effffffffff,461.0,0.0,0.0
826007fffffffff,8157.0,0.0,0.0
826017fffffffff,3972.0,0.0,0.0
82601ffffffffff,3857.0,0.0,0.0
826027fffffffff,6100.0,0.0,0.0
826037fffffffff,13442.0,0.0,0.0
826087fffffffff,249.0,0.0,0.0
82608ffffffffff,4136.0,0.0,0.0
826097fffffffff,4127.0,0.0,0.0
82609ffffffffff,1661.0,0.0,0.0
8260a7fffffffff,955.0,0.0,0.0
8260affffffffff,1822.0,0.0,181.0
8260b7fffffffff,622.0,0.0,0.0
8260f7fffffffff,6.0,0.0,0.0
82618ffffffffff,538.0,0.0,0.0
82619ffffffffff,32.0,0.0,0.0
