cell_id,Ptilinopus superbus,Ptilinopus superbus temminckii,Ptilinopus superbus superbus
8368c8fffffffff,79.0,11.0,0.0
8368cafffffffff,26.0,6.0,0.0
8368cefffffffff,3.0,0.0,0.0
8368d0fffffffff,2.0,0.0,0.0
8368d2fffffffff,131.0,50.0,0.0
8368d3fffffffff,2.0,2.0,0.0
8368d8fffffffff,23.0,11.0,0.0
8368ddfffffffff,5.0,0.0,0.0
837289fffffffff,2.0,0.0,0.0
83728efffffffff,7.0,0.0,0.0
8372a0fffffffff,2.0,0.0,0.0
8372a2fffffffff,63.0,0.0,0.0
8372a3fffffffff,2.0,0.0,0.0
8372aefffffffff,28.0,0.0,0.0
8372b0fffffffff,2.0,0.0,0.0
8372c9fffffffff,2.0,0.0,0.0
8372d2fffffffff,46.0,0.0,0.0
8372d3fffffffff,3.0,0.0,0.0
8372d5fffffffff,2.0,0.0,0.0
8372d9fffffffff,5.0,0.0,0.0
8372dbfffffffff,65.0,0.0,0.0
8372f2fffffffff,27.0,0.0,0.0
8372f3fffffffff,2.0,0.0,0.0
837390fffffffff,39.0,0.0,2.0
83739afffffffff,5.0,0.0,0.0
83739bfffffffff,23.0,0.0,0.0
837683fffffffff,2.0,0.0,0.0
837684fffffffff,1.0,0.0,0.0
837699fffffffff,2.0,0.0,0.0
83769dfffffffff,11.0,0.0,0.0
839500fffffffff,6.0,2.0,0.0
839521fffffffff,2.0,0.0,0.0
839541fffffffff,5.0,0.0,0.0
839544fffffffff,41.0,0.0,0.0
839545fffffffff,6.0,0.0,0.0
839561fffffffff,19.0,0.0,0.0
839566fffffffff,2.0,0.0,0.0
83956afffffffff,42.0,0.0,0.0
83956bfffffffff,72.0,0.0,0.0
83956cfffffffff,2.0,0.0,0.0
839c00fffffffff,20.0,0.0,0.0
839c05fffffffff,84.0,0.0,0.0
839c0efffffffff,2.0,0.0,0.0
839c19fffffffff,456.0,0.0,0.0
839c20fffffffff,54.0,0.0,0.0
839c21fffffffff,112.0,0.0,0.0
839c23fffffffff,1445.0,0.0,0.0
839c25fffffffff,46.0,0.0,0.0
839c85fffffffff,1.0,0.0,0.0
839c8bfffffffff,5.0,0.0,0.0
839c8efffffffff,1.0,0.0,0.0
839c90fffffffff,6.0,0.0,0.0
839c99fffffffff,124.0,0.0,0.0
839c9dfffffffff,6.0,0.0,0.0
839ca6fffffffff,6.0,0.0,0.0
839caefffffffff,76.0,0.0,1.0
839cb5fffffffff,20.0,0.0,0.0
839cd3fffffffff,101.0,0.0,0.0
839cf3fffffffff,7.0,0.0,0.0
839cf5fffffffff,32.0,0.0,0.0
839d01fffffffff,9.0,0.0,0.0
839d0bfffffffff,8.0,0.0,0.0
839d0cfffffffff,79.0,0.0,0.0
839d0efffffffff,15.0,0.0,0.0
839ed3fffffffff,1.0,0.0,0.0
839edafffffffff,12.0,0.0,0.0
839edefffffffff,7.0,0.0,0.0
83be88fffffffff,7.0,0.0,0.0
83be8dfffffffff,1.0,0.0,0.0
83bea9fffffffff,16.0,0.0,1.0
83beabfffffffff,33.0,0.0,0.0
83bef6fffffffff,5.0,0.0,0.0
