cell_id,Icterus cayanensis,Icterus cayanensis chrysocephalus,Icterus cayanensis cayanensis
835f2bfffffffff,2.0,2.0,0.0
835f58fffffffff,178.0,127.0,0.0
83665afffffffff,1.0,1.0,0.0
8366c0fffffffff,1.0,0.0,0.0
8366dafffffffff,7.0,0.0,0.0
8366dcfffffffff,2.0,0.0,2.0
8366defffffffff,14.0,0.0,0.0
8366e1fffffffff,3.0,0.0,0.0
83814afffffffff,6.0,0.0,6.0
83814dfffffffff,3.0,0.0,3.0
838171fffffffff,6.0,0.0,6.0
838a45fffffffff,3.0,0.0,3.0
838ad1fffffffff,3.0,3.0,0.0
838adcfffffffff,2.0,2.0,0.0
838f74fffffffff,6.0,0.0,0.0
83a82dfffffffff,2.0,0.0,0.0
