cell_id,Sporophila americana,Sporophila americana americana/dispar,Sporophila americana murallae
835f02fffffffff,2.0,0.0,0.0
835f03fffffffff,4.0,0.0,0.0
835f08fffffffff,176.0,0.0,0.0
835f09fffffffff,252.0,1.0,0.0
835f0bfffffffff,54.0,2.0,0.0
835f0dfffffffff,6.0,0.0,0.0
835f0efffffffff,3.0,0.0,0.0
835f10fffffffff,9.0,1.0,0.0
835f11fffffffff,1.0,0.0,0.0
835f12fffffffff,87.0,0.0,0.0
835f13fffffffff,51.0,0.0,0.0
835f14fffffffff,7.0,0.0,0.0
835f16fffffffff,9.0,0.0,0.0
835f1cfffffffff,173.0,5.0,0.0
835f1dfffffffff,25.0,0.0,0.0
835f1efffffffff,19.0,0.0,0.0
835f29fffffffff,1.0,0.0,0.0
835f2bfffffffff,3.0,0.0,0.0
835f48fffffffff,4.0,0.0,0.0
835f50fffffffff,19.0,0.0,0.0
83665afffffffff,2.0,0.0,2.0
8366c0fffffffff,71.0,0.0,71.0
8366c1fffffffff,2.0,0.0,2.0
8366c2fffffffff,209.0,0.0,208.0
8366c3fffffffff,11.0,0.0,11.0
8366cefffffffff,38.0,0.0,38.0
8366d1fffffffff,6.0,0.0,6.0
8366d8fffffffff,2.0,0.0,2.0
8366dafffffffff,22.0,0.0,22.0
8366dbfffffffff,13.0,0.0,13.0
8366dcfffffffff,151.0,0.0,148.0
8366ddfffffffff,8.0,0.0,5.0
8366defffffffff,223.0,0.0,217.0
8366eefffffffff,4.0,0.0,4.0
838044fffffffff,9.0,0.0,0.0
838046fffffffff,16.0,0.0,0.0
838048fffffffff,3.0,0.0,0.0
83804cfffffffff,4.0,0.0,0.0
838065fffffffff,11.0,0.0,0.0
838066fffffffff,9.0,0.0,0.0
83806afffffffff,37.0,0.0,0.0
83806bfffffffff,40.0,0.0,0.0
838071fffffffff,6.0,0.0,0.0
838073fffffffff,8.0,0.0,0.0
838074fffffffff,16.0,0.0,0.0
838143fffffffff,3.0,0.0,0.0
83814afffffffff,84.0,1.0,0.0
83814dfffffffff,54.0,0.0,0.0
83814efffffffff,15.0,0.0,0.0
838159fffffffff,8.0,0.0,0.0
83815dfffffffff,35.0,0.0,0.0
838162fffffffff,7.0,0.0,0.0
838a00fffffffff,17.0,1.0,0.0
838a01fffffffff,1.0,0.0,0.0
838a05fffffffff,15.0,0.0,0.0
838a1afffffffff,5.0,0.0,0.0
838a25fffffffff,1.0,0.0,0.0
838a2efffffffff,4.0,0.0,0.0
838a31fffffffff,2.0,1.0,0.0
838a45fffffffff,215.0,0.0,214.0
838a68fffffffff,11.0,0.0,11.0
838a69fffffffff,81.0,0.0,81.0
838a6dfffffffff,220.0,0.0,216.0
838a6efffffffff,1.0,0.0,1.0
838a70fffffffff,4.0,0.0,0.0
838a80fffffffff,7.0,0.0,0.0
838a82fffffffff,5.0,0.0,0.0
838a8cfffffffff,16.0,0.0,0.0
838a8dfffffffff,2.0,0.0,0.0
838a8efffffffff,2.0,0.0,0.0
838a90fffffffff,5.0,0.0,0.0
838a92fffffffff,6.0,0.0,0.0
838a9cfffffffff,2.0,0.0,0.0
838aa9fffffffff,5.0,0.0,0.0
838aaafffffffff,8.0,0.0,0.0
838aabfffffffff,16.0,0.0,0.0
838aadfffffffff,4.0,0.0,0.0
838ae5fffffffff,2.0,0.0,0.0
838af0fffffffff,12.0,0.0,0.0
838af2fffffffff,13.0,0.0,0.0
838af4fffffffff,23.0,0.0,0.0
838af6fffffffff,130.0,3.0,0.0
838b69fffffffff,6.0,0.0,6.0
838f40fffffffff,4.0,0.0,2.0
838f44fffffffff,9.0,0.0,9.0
838f46fffffffff,3.0,0.0,3.0
838f48fffffffff,33.0,0.0,33.0
838f4afffffffff,4.0,0.0,4.0
838f4bfffffffff,2.0,0.0,2.0
838f4cfffffffff,34.0,0.0,34.0
838f4efffffffff,4.0,0.0,4.0
838f61fffffffff,156.0,0.0,156.0
838f6cfffffffff,16.0,0.0,16.0
838f6efffffffff,6.0,0.0,6.0
838f71fffffffff,3.0,0.0,3.0
838f72fffffffff,3.0,0.0,2.0
838f74fffffffff,20.0,0.0,20.0
838f76fffffffff,5.0,0.0,5.0
