cell_id,Hemicircus concretus,Hemicircus concretus sordidus,Hemicircus concretus concretus
836430fffffffff,1.0,0.0,0.0
836431fffffffff,15.0,4.0,0.0
836433fffffffff,1.0,0.0,0.0
836434fffffffff,17.0,8.0,0.0
836500fffffffff,48.0,0.0,0.0
836501fffffffff,3.0,0.0,0.0
836502fffffffff,10.0,1.0,0.0
836503fffffffff,11.0,0.0,0.0
836505fffffffff,92.0,0.0,0.0
836506fffffffff,1.0,0.0,0.0
836518fffffffff,62.0,1.0,0.0
83651bfffffffff,26.0,8.0,0.0
83651cfffffffff,58.0,6.0,0.0
83651dfffffffff,2.0,0.0,0.0
836520fffffffff,2.0,0.0,0.0
836522fffffffff,43.0,0.0,0.0
836525fffffffff,1.0,0.0,0.0
836526fffffffff,102.0,0.0,0.0
836554fffffffff,1.0,0.0,0.0
836810fffffffff,11.0,2.0,0.0
836811fffffffff,16.0,0.0,0.0
836812fffffffff,7.0,0.0,0.0
836816fffffffff,1.0,0.0,0.0
836818fffffffff,271.0,49.0,0.0
83681afffffffff,2.0,0.0,0.0
83681cfffffffff,192.0,38.0,0.0
83681dfffffffff,5.0,1.0,0.0
83681efffffffff,3.0,0.0,0.0
836888fffffffff,1.0,0.0,0.0
836896fffffffff,2.0,0.0,0.0
8368abfffffffff,6.0,0.0,0.0
838c10fffffffff,6.0,0.0,1.0
838c1afffffffff,5.0,3.0,0.0
838c88fffffffff,1.0,0.0,0.0
838c8bfffffffff,1.0,0.0,0.0
838c96fffffffff,2.0,0.0,0.0
838cadfffffffff,22.0,1.0,0.0
838cb2fffffffff,3.0,0.0,0.0
838cd2fffffffff,2.0,0.0,0.0
838cd5fffffffff,1.0,0.0,0.0
838d9afffffffff,5.0,0.0,0.0
838da2fffffffff,15.0,0.0,1.0
838da3fffffffff,1.0,0.0,0.0
838da6fffffffff,7.0,0.0,1.0
