cell_id,Acrochordopus zeledoni,Acrochordopus zeledoni zeledoni,Acrochordopus zeledoni [leucogonys Group]
84660cbffffffff,3.0,0.0,0.0
84660ddffffffff,3.0,0.0,0.0
8466b41ffffffff,1.0,1.0,0.0
8466b45ffffffff,11.0,11.0,0.0
8466b4dffffffff,5.0,5.0,0.0
8466b51ffffffff,1.0,0.0,0.0
8466b5bffffffff,5.0,0.0,0.0
8466c0dffffffff,8.0,0.0,0.0
8466d31ffffffff,2.0,0.0,2.0
8466d35ffffffff,2.0,0.0,0.0
8466e0dffffffff,12.0,0.0,10.0
8466e65ffffffff,6.0,0.0,0.0
8466e67ffffffff,5.0,0.0,0.0
8467413ffffffff,1.0,0.0,1.0
8467417ffffffff,6.0,0.0,1.0
8467437ffffffff,2.0,0.0,0.0
8467519ffffffff,1.0,0.0,0.0
84675a5ffffffff,2.0,0.0,0.0
84675cbffffffff,1.0,0.0,0.0
84675ebffffffff,4.0,0.0,0.0
846d691ffffffff,5.0,0.0,0.0
846d69dffffffff,8.0,0.0,0.0
848b6edffffffff,1.0,0.0,0.0
848b75bffffffff,2.0,0.0,0.0
