cell_id,Myophonus caeruleus,Myophonus caeruleus caeruleus,Myophonus caeruleus [flavirostris Group]
8420101ffffffff,14.0,0.0,0.0
8420123ffffffff,3.0,0.0,0.0
8420125ffffffff,4.0,0.0,0.0
8420127ffffffff,2.0,0.0,0.0
842013dffffffff,5.0,0.0,5.0
84201a3ffffffff,7.0,0.0,0.0
84201abffffffff,5.0,0.0,0.0
84201b5ffffffff,1.0,0.0,0.0
84201bdffffffff,3.0,0.0,0.0
8420807ffffffff,2.0,0.0,0.0
8420809ffffffff,5.0,0.0,0.0
8420835ffffffff,2.0,0.0,0.0
8420847ffffffff,2.0,0.0,0.0
8420855ffffffff,2.0,0.0,0.0
84208a5ffffffff,1.0,0.0,0.0
84208a7ffffffff,4.0,0.0,0.0
8420983ffffffff,6.0,0.0,0.0
842098dffffffff,5.0,0.0,0.0
8420991ffffffff,2.0,0.0,0.0
8420995ffffffff,2.0,0.0,0.0
8420999ffffffff,20.0,0.0,0.0
842099bffffffff,42.0,0.0,0.0
842099dffffffff,6.0,0.0,0.0
84209a1ffffffff,8.0,0.0,0.0
84209a3ffffffff,8.0,0.0,0.0
84209a5ffffffff,268.0,0.0,0.0
84209a7ffffffff,22.0,0.0,0.0
84209a9ffffffff,1.0,0.0,0.0
84209abffffffff,16.0,0.0,0.0
84209b5ffffffff,23.0,0.0,0.0
84209b7ffffffff,112.0,0.0,0.0
84209b9ffffffff,3.0,0.0,0.0
84209c7ffffffff,12.0,0.0,0.0
84209e3ffffffff,11.0,0.0,0.0
84209e7ffffffff,13.0,0.0,0.0
84209ebffffffff,7.0,0.0,0.0
8420a05ffffffff,1.0,0.0,0.0
8420a21ffffffff,3.0,0.0,0.0
8420a23ffffffff,2.0,0.0,0.0
8420a27ffffffff,16.0,0.0,0.0
8420a2bffffffff,1.0,0.0,0.0
8420a2dffffffff,2.0,0.0,0.0
8420a85ffffffff,1.0,0.0,0.0
8420a87ffffffff,1.0,0.0,0.0
8420a9bffffffff,2.0,0.0,0.0
8420aabffffffff,1.0,0.0,0.0
8420ad1ffffffff,13.0,0.0,0.0
8420ad3ffffffff,3.0,0.0,0.0
8420ad7ffffffff,2.0,0.0,0.0
8420ae3ffffffff,1.0,0.0,0.0
8420e23ffffffff,1.0,0.0,0.0
8420e2bffffffff,2.0,0.0,2.0
8420e61ffffffff,11.0,0.0,7.0
8420e65ffffffff,66.0,0.0,33.0
8420e67ffffffff,4.0,0.0,0.0
8420f09ffffffff,1.0,0.0,0.0
8430115ffffffff,2.0,0.0,0.0
8430911ffffffff,17.0,0.0,0.0
843091dffffffff,3.0,0.0,0.0
84309a5ffffffff,8.0,0.0,0.0
8431851ffffffff,9.0,0.0,0.0
8431853ffffffff,2.0,0.0,0.0
843185bffffffff,2.0,0.0,0.0
8431921ffffffff,5.0,0.0,0.0
8431a87ffffffff,42.0,0.0,0.0
843c001ffffffff,2.0,0.0,0.0
843c005ffffffff,9.0,0.0,3.0
843c00dffffffff,20.0,0.0,0.0
843c011ffffffff,1.0,0.0,0.0
843c021ffffffff,15.0,0.0,6.0
843c023ffffffff,2.0,0.0,0.0
843c027ffffffff,3.0,0.0,0.0
843c029ffffffff,712.0,0.0,182.0
843c02bffffffff,8.0,0.0,0.0
843c02dffffffff,561.0,0.0,48.0
843c031ffffffff,11.0,0.0,0.0
843c033ffffffff,15.0,0.0,0.0
843c035ffffffff,1.0,0.0,0.0
843c03dffffffff,2.0,0.0,0.0
843c061ffffffff,2.0,0.0,0.0
843c063ffffffff,98.0,0.0,12.0
843c065ffffffff,17.0,0.0,2.0
843c067ffffffff,185.0,0.0,10.0
843c069ffffffff,7.0,0.0,5.0
843c06bffffffff,2.0,0.0,0.0
843c06dffffffff,2.0,0.0,2.0
843c0a1ffffffff,24.0,0.0,0.0
843c0a3ffffffff,377.0,0.0,31.0
843c0a5ffffffff,1183.0,0.0,0.0
843c0a7ffffffff,3.0,0.0,3.0
843c0a9ffffffff,301.0,0.0,0.0
843c0adffffffff,467.0,0.0,0.0
843c0b3ffffffff,1.0,0.0,0.0
