cell_id,Fulica americana,Fulica americana (Red-shielded),Fulica americana (White-shielded)
820747fffffffff,1.0,1.0,0.0
82075ffffffffff,4.0,2.0,0.0
820c47fffffffff,9.0,0.0,0.0
820c57fffffffff,7.0,3.0,0.0
820c5ffffffffff,13.0,0.0,0.0
820c77fffffffff,34.0,13.0,0.0
820d5ffffffffff,1.0,0.0,0.0
820e4ffffffffff,9.0,0.0,0.0
820e87fffffffff,62.0,15.0,0.0
820ecffffffffff,25.0,10.0,0.0
820eeffffffffff,208.0,25.0,0.0
821227fffffffff,3.0,3.0,0.0
821237fffffffff,3.0,3.0,0.0
82124ffffffffff,1.0,1.0,0.0
82125ffffffffff,13.0,0.0,0.0
821287fffffffff,13.0,4.0,0.0
82128ffffffffff,119.0,110.0,0.0
821297fffffffff,3.0,0.0,0.0
8212b7fffffffff,16.0,9.0,0.0
8212c7fffffffff,108.0,88.0,0.0
8212cffffffffff,388.0,232.0,0.0
8212d7fffffffff,27.0,21.0,0.0
8212dffffffffff,242.0,209.0,0.0
8212e7fffffffff,3.0,3.0,0.0
8212effffffffff,13.0,6.0,0.0
8212f7fffffffff,2.0,0.0,0.0
821357fffffffff,6.0,3.0,0.0
821387fffffffff,64.0,29.0,0.0
82138ffffffffff,18.0,18.0,0.0
821397fffffffff,2.0,2.0,0.0
82139ffffffffff,21.0,16.0,0.0
8213affffffffff,8.0,8.0,0.0
8213b7fffffffff,8.0,8.0,0.0
821807fffffffff,6.0,4.0,0.0
821827fffffffff,2.0,0.0,0.0
82182ffffffffff,6.0,0.0,0.0
82184ffffffffff,2.0,0.0,0.0
82194ffffffffff,2.0,0.0,0.0
821aa7fffffffff,352.0,87.0,0.0
821d27fffffffff,22.0,0.0,0.0
822607fffffffff,66.0,15.0,1.0
82260ffffffffff,259.0,190.0,0.0
822617fffffffff,11.0,9.0,0.0
82261ffffffffff,126.0,108.0,0.0
822627fffffffff,29.0,8.0,0.0
82262ffffffffff,53.0,24.0,0.0
822637fffffffff,14.0,6.0,0.0
822647fffffffff,108.0,94.0,0.0
82264ffffffffff,1045.0,853.0,0.0
822657fffffffff,243.0,210.0,0.0
82265ffffffffff,318.0,288.0,0.0
822667fffffffff,107.0,61.0,0.0
82266ffffffffff,82.0,39.0,0.0
822677fffffffff,278.0,235.0,0.0
822687fffffffff,404.0,193.0,0.0
82268ffffffffff,1439.0,1202.0,0.0
822697fffffffff,177.0,98.0,0.0
82269ffffffffff,229.0,54.0,0.0
8226a7fffffffff,5.0,2.0,0.0
8226affffffffff,182.0,123.0,0.0
8226b7fffffffff,8.0,0.0,0.0
8226c7fffffffff,16.0,8.0,0.0
8226cffffffffff,139.0,122.0,0.0
8226d7fffffffff,9.0,6.0,0.0
8226dffffffffff,22.0,11.0,0.0
8226e7fffffffff,159.0,111.0,0.0
8226effffffffff,17.0,9.0,0.0
8226f7fffffffff,213.0,54.0,0.0
822707fffffffff,95.0,8.0,0.0
82270ffffffffff,22.0,9.0,0.0
822717fffffffff,43.0,11.0,0.0
82271ffffffffff,33.0,29.0,0.0
822737fffffffff,1.0,0.0,0.0
822747fffffffff,238.0,199.0,0.0
82274ffffffffff,2968.0,2904.0,0.0
822757fffffffff,72.0,23.0,0.0
82275ffffffffff,368.0,298.0,0.0
822767fffffffff,19.0,7.0,0.0
82276ffffffffff,298.0,258.0,0.0
822777fffffffff,52.0,32.0,0.0
822787fffffffff,43.0,25.0,0.0
82278ffffffffff,9.0,3.0,0.0
822797fffffffff,235.0,102.0,0.0
82279ffffffffff,22.0,8.0,0.0
8227a7fffffffff,48.0,13.0,0.0
8227affffffffff,43.0,12.0,0.0
8227b7fffffffff,3.0,1.0,0.0
822807fffffffff,7.0,7.0,0.0
822817fffffffff,672.0,641.0,0.0
82281ffffffffff,344.0,259.0,0.0
822837fffffffff,4016.0,1778.0,1.0
822887fffffffff,89.0,42.0,0.0
82288ffffffffff,39.0,20.0,0.0
822897fffffffff,142.0,67.0,1.0
82289ffffffffff,74.0,59.0,0.0
8228a7fffffffff,14.0,3.0,0.0
8228affffffffff,125.0,79.0,0.0
8228b7fffffffff,54.0,10.0,0.0
8228d7fffffffff,166.0,89.0,0.0
8228dffffffffff,2239.0,2228.0,0.0
8228f7fffffffff,329.0,280.0,2.0
822917fffffffff,1404.0,1401.0,0.0
82291ffffffffff,3.0,3.0,0.0
822987fffffffff,15.0,0.0,13.0
82298ffffffffff,505.0,388.0,0.0
822997fffffffff,67.0,20.0,0.0
8229a7fffffffff,5866.0,5575.0,6.0
8229affffffffff,933.0,848.0,0.0
8229b7fffffffff,288.0,245.0,1.0
822a07fffffffff,90.0,47.0,0.0
822a17fffffffff,1878.0,1052.0,0.0
822a37fffffffff,1505.0,758.0,0.0
822a4ffffffffff,2.0,0.0,2.0
822a87fffffffff,355.0,327.0,0.0
822a8ffffffffff,68.0,31.0,0.0
822a97fffffffff,98.0,47.0,0.0
822a9ffffffffff,363.0,349.0,0.0
822aa7fffffffff,372.0,288.0,0.0
822aaffffffffff,1519.0,1156.0,0.0
822ab7fffffffff,2528.0,2140.0,0.0
822ad7fffffffff,35.0,12.0,0.0
822af7fffffffff,115.0,88.0,0.0
822b07fffffffff,73.0,0.0,0.0
822b0ffffffffff,20.0,13.0,0.0
822b17fffffffff,155.0,38.0,0.0
822b1ffffffffff,68.0,27.0,0.0
822b27fffffffff,41.0,7.0,0.0
822b2ffffffffff,6.0,0.0,0.0
822b37fffffffff,41.0,11.0,0.0
822b87fffffffff,164.0,49.0,0.0
822b8ffffffffff,186.0,124.0,0.0
822b97fffffffff,132.0,20.0,0.0
822b9ffffffffff,1038.0,309.0,0.0
822ba7fffffffff,100.0,59.0,0.0
822baffffffffff,584.0,208.0,0.0
822bb7fffffffff,36.0,15.0,0.0
823427fffffffff,19.0,4.0,0.0
82351ffffffffff,28.0,0.0,0.0
8235affffffffff,3.0,1.0,0.0
823927fffffffff,15.0,0.0,0.0
824417fffffffff,41.0,31.0,1.0
