cell_id,Anarhynchus obscurus,Anarhynchus obscurus aquilonius,Anarhynchus obscurus obscurus
84ba241ffffffff,2.0,0.0,0.0
84ba24dffffffff,5.0,0.0,0.0
84bb081ffffffff,10.0,0.0,0.0
84bb085ffffffff,17.0,0.0,0.0
84bb089ffffffff,43.0,0.0,0.0
84bb08dffffffff,3.0,0.0,0.0
84bb0a1ffffffff,13.0,0.0,0.0
84bb0a7ffffffff,1.0,0.0,0.0
84bb0a9ffffffff,17.0,0.0,0.0
84bb0b1ffffffff,30.0,0.0,0.0
84bb0b3ffffffff,34.0,0.0,0.0
84bb0c1ffffffff,35.0,0.0,0.0
84bb0c7ffffffff,6.0,0.0,0.0
84bb0cbffffffff,4.0,0.0,0.0
84bb295ffffffff,2.0,0.0,0.0
84bb2b3ffffffff,16.0,0.0,0.0
84bb2b5ffffffff,10.0,0.0,0.0
84bb2bbffffffff,170.0,0.0,0.0
84bb2bdffffffff,58.0,0.0,0.0
84bb501ffffffff,747.0,0.0,0.0
84bb503ffffffff,158.0,0.0,0.0
84bb505ffffffff,91.0,0.0,0.0
84bb507ffffffff,359.0,0.0,0.0
84bb509ffffffff,13.0,0.0,0.0
84bb50bffffffff,57.0,0.0,0.0
84bb50dffffffff,392.0,0.0,0.0
84bb515ffffffff,59.0,0.0,0.0
84bb51dffffffff,4.0,0.0,0.0
84bb529ffffffff,84.0,0.0,0.0
84bb52bffffffff,35.0,0.0,0.0
84bb533ffffffff,5.0,0.0,0.0
84bb539ffffffff,442.0,17.0,0.0
84bb53bffffffff,143.0,8.0,0.0
84bb53dffffffff,2.0,0.0,0.0
84bb541ffffffff,8.0,0.0,0.0
84bb547ffffffff,4.0,0.0,0.0
84bb549ffffffff,2.0,0.0,0.0
84bb561ffffffff,28.0,0.0,0.0
84bb563ffffffff,29.0,0.0,0.0
84bb567ffffffff,55.0,0.0,0.0
84bb56dffffffff,33.0,0.0,0.0
84bb581ffffffff,14.0,0.0,0.0
84bb58dffffffff,17.0,0.0,0.0
84bb5c5ffffffff,1.0,0.0,0.0
84bb5e1ffffffff,13.0,0.0,0.0
84bb5e5ffffffff,9.0,0.0,0.0
84bb5ebffffffff,9.0,0.0,0.0
84bb5edffffffff,42.0,0.0,0.0
84bb705ffffffff,3.0,0.0,0.0
84bb72bffffffff,9.0,0.0,0.0
84bb765ffffffff,2.0,0.0,0.0
84daaa1ffffffff,101.0,0.0,43.0
84daaabffffffff,8.0,0.0,0.0
84daabdffffffff,2.0,0.0,2.0
