cell_id,Geranoaetus polyosoma,Geranoaetus polyosoma polyosoma,Geranoaetus polyosoma exsul,Geranoaetus polyosoma (Puna),Geranoaetus polyosoma (Red-backed)
836618fffffffff,15.0,0.0,0.0,0.0,0.0
836619fffffffff,14.0,0.0,0.0,0.0,0.0
83661bfffffffff,31.0,0.0,0.0,0.0,0.0
83661dfffffffff,4.0,0.0,0.0,0.0,0.0
8366c2fffffffff,1.0,0.0,0.0,0.0,0.0
8366c6fffffffff,31.0,0.0,0.0,0.0,0.0
8366d0fffffffff,5.0,0.0,0.0,0.0,0.0
8366d1fffffffff,76.0,2.0,0.0,3.0,0.0
8366d3fffffffff,1132.0,25.0,0.0,69.0,30.0
8366d5fffffffff,30.0,0.0,0.0,0.0,0.0
8366dafffffffff,8.0,0.0,0.0,0.0,0.0
8366defffffffff,3657.0,104.0,0.0,358.0,54.0
8366e2fffffffff,4.0,0.0,0.0,0.0,0.0
8366e6fffffffff,131.0,0.0,0.0,0.0,2.0
8366f1fffffffff,22.0,0.0,0.0,0.0,0.0
8366f3fffffffff,4.0,0.0,0.0,0.0,4.0
8366f5fffffffff,15.0,0.0,0.0,0.0,0.0
838b20fffffffff,43.0,0.0,0.0,0.0,0.0
838b21fffffffff,49.0,0.0,0.0,0.0,0.0
838b22fffffffff,6.0,0.0,0.0,0.0,0.0
838b23fffffffff,2.0,0.0,0.0,0.0,0.0
838b24fffffffff,2.0,0.0,0.0,0.0,0.0
838b25fffffffff,38.0,0.0,0.0,0.0,0.0
838b2cfffffffff,242.0,0.0,0.0,0.0,0.0
838b2dfffffffff,3.0,0.0,0.0,0.0,0.0
838b2efffffffff,2.0,0.0,0.0,0.0,0.0
838b60fffffffff,29.0,0.0,0.0,7.0,1.0
838b61fffffffff,1523.0,0.0,0.0,206.0,85.0
838b64fffffffff,48.0,0.0,0.0,10.0,2.0
838b65fffffffff,16.0,0.0,0.0,0.0,0.0
838b66fffffffff,14.0,0.0,0.0,0.0,0.0
838b6cfffffffff,145.0,0.0,0.0,20.0,6.0
838b75fffffffff,5.0,0.0,0.0,0.0,0.0
838e25fffffffff,2.0,0.0,0.0,0.0,0.0
838e45fffffffff,17.0,0.0,0.0,0.0,2.0
838e4cfffffffff,1.0,0.0,0.0,0.0,0.0
838e60fffffffff,100.0,0.0,0.0,27.0,0.0
838e61fffffffff,13.0,0.0,0.0,0.0,0.0
838e62fffffffff,207.0,5.0,0.0,9.0,0.0
838e63fffffffff,5.0,0.0,0.0,0.0,3.0
838e64fffffffff,113.0,0.0,0.0,27.0,6.0
838e65fffffffff,46.0,0.0,0.0,11.0,1.0
838e66fffffffff,546.0,2.0,0.0,129.0,0.0
838e68fffffffff,6.0,0.0,0.0,4.0,0.0
838e69fffffffff,13.0,0.0,0.0,0.0,0.0
838e6afffffffff,29.0,0.0,0.0,1.0,0.0
838e6bfffffffff,2.0,0.0,0.0,0.0,0.0
838e6cfffffffff,13.0,0.0,0.0,4.0,0.0
838e6dfffffffff,222.0,0.0,0.0,17.0,19.0
838e6efffffffff,10.0,0.0,0.0,0.0,0.0
838e75fffffffff,332.0,1.0,0.0,4.0,0.0
838f08fffffffff,64.0,0.0,0.0,0.0,15.0
838f09fffffffff,91.0,2.0,0.0,0.0,3.0
838f0bfffffffff,105.0,0.0,0.0,0.0,9.0
838f0cfffffffff,6.0,0.0,0.0,0.0,4.0
