cell_id,Otus senegalensis,Otus senegalensis senegalensis,Otus senegalensis feae,Otus senegalensis nivosus
8454c51ffffffff,1.0,0.0,0.0,0.0
8454ea1ffffffff,2.0,0.0,0.0,0.0
846ad9dffffffff,2.0,0.0,0.0,0.0
846aea3ffffffff,2.0,0.0,0.0,0.0
847a68bffffffff,1.0,1.0,0.0,0.0
847a6b5ffffffff,1.0,0.0,0.0,0.0
847b597ffffffff,3.0,0.0,0.0,0.0
849692bffffffff,3.0,3.0,0.0,0.0
84972c5ffffffff,2.0,2.0,0.0,0.0
84975c7ffffffff,3.0,0.0,0.0,0.0
84ad825ffffffff,1.0,0.0,0.0,0.0
84bcc37ffffffff,4.0,0.0,0.0,0.0
84bcd21ffffffff,2.0,2.0,0.0,0.0
84bcd27ffffffff,7.0,2.0,0.0,0.0
84bcd29ffffffff,1.0,1.0,0.0,0.0
84bcd99ffffffff,1.0,0.0,0.0,0.0
84bcf29ffffffff,2.0,2.0,0.0,0.0
