cell_id,Ramosomyia viridifrons,Ramosomyia viridifrons viridifrons,Ramosomyia viridifrons wagneri,Ramosomyia viridifrons villadai
8349b0fffffffff,26.0,0.0,0.0,0.0
8349b1fffffffff,10.0,0.0,0.0,0.0
8349b2fffffffff,6.0,0.0,0.0,0.0
8349b5fffffffff,12.0,0.0,0.0,0.0
8349b6fffffffff,9.0,0.0,0.0,0.0
836d04fffffffff,341.0,108.0,0.0,0.0
836d14fffffffff,3.0,0.0,0.0,0.0
836d15fffffffff,1.0,0.0,0.0,0.0
836d23fffffffff,180.0,17.0,0.0,0.0
836d2cfffffffff,1.0,0.0,0.0,0.0
836d2efffffffff,53.0,0.0,0.0,0.0
836d31fffffffff,184.0,0.0,0.0,0.0
836d32fffffffff,29.0,0.0,0.0,0.0
836d33fffffffff,200.0,0.0,26.0,0.0
