cell_id,Lanius isabellinus,Lanius isabellinus isabellinus,Lanius isabellinus arenarius/tsaidamensis
82088ffffffffff,2.0,0.0,0.0
82099ffffffffff,1.0,0.0,0.0
821597fffffffff,2.0,0.0,0.0
82182ffffffffff,2.0,0.0,0.0
821877fffffffff,6.0,0.0,0.0
821947fffffffff,7.0,2.0,0.0
82194ffffffffff,5.0,2.0,0.0
82196ffffffffff,5.0,1.0,0.0
821977fffffffff,1.0,1.0,0.0
821e27fffffffff,1.0,0.0,0.0
821edffffffffff,1.0,0.0,0.0
821f0ffffffffff,1.0,0.0,0.0
821f37fffffffff,4.0,0.0,0.0
821f97fffffffff,3.0,2.0,0.0
821fa7fffffffff,2.0,0.0,0.0
821faffffffffff,8.0,0.0,0.0
82204ffffffffff,2.0,2.0,0.0
822087fffffffff,1.0,0.0,0.0
8220b7fffffffff,6.0,0.0,0.0
8220e7fffffffff,1.0,0.0,0.0
82240ffffffffff,3.0,0.0,0.0
82244ffffffffff,2.0,0.0,0.0
822457fffffffff,2.0,2.0,0.0
822487fffffffff,4.0,0.0,2.0
822517fffffffff,27.0,22.0,0.0
8225affffffffff,2.0,2.0,0.0
822c0ffffffffff,9.0,3.0,0.0
822c17fffffffff,2.0,0.0,0.0
822c27fffffffff,1.0,0.0,0.0
822c97fffffffff,2.0,0.0,0.0
822ce7fffffffff,28.0,4.0,0.0
822d07fffffffff,3.0,0.0,0.0
822d97fffffffff,1.0,0.0,0.0
822da7fffffffff,3.0,0.0,0.0
822daffffffffff,2.0,0.0,0.0
822db7fffffffff,67.0,12.0,0.0
8230c7fffffffff,1.0,0.0,0.0
82391ffffffffff,36.0,0.0,0.0
823947fffffffff,2.0,1.0,0.0
823957fffffffff,13.0,0.0,0.0
823977fffffffff,4.0,2.0,0.0
823987fffffffff,7.0,0.0,0.0
823c1ffffffffff,7.0,0.0,0.0
823c37fffffffff,4.0,0.0,0.0
823ca7fffffffff,1.0,0.0,0.0
823cb7fffffffff,12.0,0.0,0.0
823cf7fffffffff,1.0,0.0,0.0
823d07fffffffff,2.0,0.0,0.0
823d17fffffffff,6.0,0.0,0.0
823d37fffffffff,27.0,0.0,0.0
823d87fffffffff,13.0,9.0,1.0
823d8ffffffffff,19.0,0.0,0.0
823da7fffffffff,6.0,2.0,1.0
823daffffffffff,12.0,0.0,0.0
823db7fffffffff,2.0,2.0,0.0
823e5ffffffffff,5.0,0.0,0.0
823e6ffffffffff,16.0,4.0,0.0
82424ffffffffff,1.0,0.0,1.0
824257fffffffff,17.0,2.0,0.0
82425ffffffffff,2.0,0.0,0.0
8242c7fffffffff,53.0,7.0,0.0
8242cffffffffff,11.0,2.0,0.0
8242dffffffffff,18.0,3.0,0.0
8242e7fffffffff,2.0,0.0,0.0
8242effffffffff,2.0,0.0,0.0
8243a7fffffffff,1.0,0.0,0.0
8243affffffffff,9.0,1.0,0.0
824b37fffffffff,2.0,0.0,2.0
824bb7fffffffff,17.0,0.0,0.0
82521ffffffffff,2.0,2.0,0.0
82528ffffffffff,2.0,0.0,0.0
825357fffffffff,8.0,8.0,0.0
825367fffffffff,6.0,0.0,0.0
826017fffffffff,1.0,0.0,0.0
826087fffffffff,8.0,0.0,0.0
82608ffffffffff,29.0,0.0,0.0
826097fffffffff,3.0,0.0,0.0
82609ffffffffff,12.0,0.0,0.0
8260a7fffffffff,2.0,0.0,0.0
8260affffffffff,35.0,0.0,0.0
8260b7fffffffff,62.0,5.0,0.0
826adffffffffff,2.0,2.0,0.0
826aeffffffffff,1.0,0.0,0.0
827a47fffffffff,8.0,1.0,0.0
827a6ffffffffff,8.0,5.0,0.0
