cell_id,Pycnonotus barbatus,Pycnonotus barbatus [barbatus Group],Pycnonotus barbatus somaliensis,Pycnonotus barbatus dodsoni,Pycnonotus barbatus [tricolor Group]
833862fffffffff,38.0,12.0,0.0,0.0,0.0
833863fffffffff,1.0,0.0,0.0,0.0,0.0
833875fffffffff,19.0,4.0,0.0,0.0,0.0
833919fffffffff,6.0,0.0,0.0,0.0,0.0
83391afffffffff,52.0,1.0,0.0,0.0,0.0
83395afffffffff,5.0,0.0,0.0,0.0,0.0
833991fffffffff,2.0,2.0,0.0,0.0,0.0
8354e2fffffffff,2.0,0.0,0.0,0.0,0.0
836a45fffffffff,4.0,0.0,0.0,0.0,0.0
836ac3fffffffff,4.0,0.0,0.0,0.0,0.0
836acefffffffff,3.0,0.0,0.0,0.0,3.0
836adefffffffff,1.0,0.0,0.0,0.0,0.0
837a40fffffffff,1.0,0.0,0.0,1.0,0.0
837a41fffffffff,5.0,0.0,0.0,5.0,0.0
837a43fffffffff,1.0,0.0,0.0,1.0,0.0
837a45fffffffff,2.0,0.0,0.0,1.0,1.0
837a4cfffffffff,1.0,0.0,0.0,0.0,1.0
837a4dfffffffff,1.0,0.0,0.0,0.0,1.0
837a60fffffffff,1.0,0.0,0.0,1.0,0.0
837a64fffffffff,5.0,0.0,0.0,5.0,0.0
837a65fffffffff,18.0,0.0,0.0,18.0,0.0
837a68fffffffff,2.0,0.0,0.0,0.0,0.0
837a6afffffffff,1.0,0.0,0.0,1.0,0.0
837a6efffffffff,1.0,0.0,0.0,0.0,1.0
837b48fffffffff,8.0,0.0,0.0,0.0,2.0
837b4afffffffff,2.0,0.0,0.0,0.0,0.0
837b4cfffffffff,176.0,0.0,0.0,0.0,80.0
837b4efffffffff,6.0,0.0,0.0,0.0,0.0
837b59fffffffff,10.0,0.0,0.0,10.0,0.0
837b6afffffffff,6.0,0.0,0.0,0.0,0.0
8382a0fffffffff,7.0,0.0,0.0,0.0,7.0
8382f2fffffffff,8.0,8.0,0.0,0.0,0.0
839633fffffffff,1.0,1.0,0.0,0.0,0.0
83972dfffffffff,1.0,0.0,0.0,0.0,1.0
839750fffffffff,1.0,0.0,0.0,0.0,0.0
83978bfffffffff,2.0,0.0,0.0,0.0,2.0
83ad92fffffffff,1.0,0.0,0.0,0.0,1.0
83bc0afffffffff,2.0,0.0,0.0,0.0,2.0
83bc0bfffffffff,2.0,0.0,0.0,0.0,2.0
83bc19fffffffff,41.0,0.0,0.0,0.0,41.0
83bc1bfffffffff,8.0,0.0,0.0,0.0,8.0
83bc8bfffffffff,2.0,0.0,0.0,0.0,0.0
83bcc3fffffffff,5.0,0.0,0.0,0.0,5.0
83bccafffffffff,1.0,0.0,0.0,0.0,1.0
83bcd0fffffffff,3.0,0.0,0.0,0.0,3.0
83bcd1fffffffff,2.0,0.0,0.0,0.0,2.0
83bcd2fffffffff,15.0,0.0,0.0,0.0,15.0
83bcd6fffffffff,2.0,0.0,0.0,0.0,2.0
83bcddfffffffff,1.0,0.0,0.0,0.0,1.0
83bcdefffffffff,2.0,0.0,0.0,0.0,2.0
83bce2fffffffff,6.0,0.0,0.0,0.0,6.0
83bce6fffffffff,12.0,0.0,0.0,0.0,12.0
83bcf2fffffffff,4.0,0.0,0.0,0.0,4.0
83bcf5fffffffff,9.0,0.0,0.0,0.0,9.0
83bcf6fffffffff,3.0,0.0,0.0,0.0,3.0
