cell_id,Amazilia yucatanensis,Amazilia yucatanensis yucatanensis,Amazilia yucatanensis cerviniventris/chalconota
8226cffffffffff,2.0,0.0,0.0
822a8ffffffffff,59.0,0.0,2.0
822af7fffffffff,11.0,0.0,0.0
824447fffffffff,257.0,0.0,0.0
824457fffffffff,61.0,0.0,2.0
82446ffffffffff,20.0,0.0,1.0
824477fffffffff,8.0,0.0,0.0
8244a7fffffffff,225.0,0.0,3.0
8244affffffffff,6.0,0.0,0.0
8244d7fffffffff,32.0,0.0,0.0
8244e7fffffffff,23.0,0.0,0.0
8244f7fffffffff,85.0,0.0,2.0
824507fffffffff,17.0,6.0,0.0
824527fffffffff,2.0,0.0,0.0
82452ffffffffff,49.0,2.0,0.0
824887fffffffff,9.0,0.0,0.0
824897fffffffff,16.0,0.0,0.0
82489ffffffffff,28.0,0.0,0.0
8248b7fffffffff,18.0,0.0,3.0
824997fffffffff,21.0,0.0,4.0
82499ffffffffff,2.0,0.0,2.0
826d27fffffffff,7.0,0.0,4.0
826d37fffffffff,11.0,0.0,2.0
