cell_id,Mirafra javanica,Mirafra javanica [cantillans Group],Mirafra javanica [javanica Group]
833cb6fffffffff,2.0,2.0,0.0
833d96fffffffff,8.0,8.0,0.0
833da1fffffffff,30.0,30.0,0.0
833da2fffffffff,13.0,13.0,0.0
833da6fffffffff,19.0,19.0,0.0
833da9fffffffff,1.0,0.0,0.0
833db2fffffffff,13.0,13.0,0.0
833db4fffffffff,2.0,2.0,0.0
833db5fffffffff,170.0,170.0,0.0
833db6fffffffff,7.0,7.0,0.0
834249fffffffff,2.0,2.0,0.0
83425afffffffff,2.0,2.0,0.0
8342c3fffffffff,28.0,25.0,0.0
8342c4fffffffff,1.0,0.0,0.0
8342cbfffffffff,6.0,6.0,0.0
8342cdfffffffff,8.0,8.0,0.0
8342cefffffffff,5.0,5.0,0.0
8342dbfffffffff,3.0,3.0,0.0
835248fffffffff,2.0,2.0,0.0
835410fffffffff,1.0,0.0,0.0
8354adfffffffff,2.0,2.0,0.0
83599efffffffff,2.0,2.0,0.0
836010fffffffff,2.0,2.0,0.0
836014fffffffff,27.0,19.0,0.0
836016fffffffff,7.0,6.0,0.0
836030fffffffff,2.0,2.0,0.0
836032fffffffff,183.0,174.0,0.0
836033fffffffff,2.0,2.0,0.0
836090fffffffff,19.0,19.0,0.0
836091fffffffff,15.0,15.0,0.0
836098fffffffff,7.0,7.0,0.0
83609efffffffff,2.0,2.0,0.0
8360a5fffffffff,38.0,31.0,0.0
836332fffffffff,86.0,86.0,0.0
836484fffffffff,2.0,0.0,2.0
8364b1fffffffff,6.0,0.0,6.0
8364b4fffffffff,2.0,0.0,2.0
836582fffffffff,2.0,0.0,2.0
836583fffffffff,1.0,0.0,1.0
836599fffffffff,2.0,0.0,2.0
83694efffffffff,3.0,0.0,3.0
837a61fffffffff,2.0,2.0,0.0
837a64fffffffff,1.0,1.0,0.0
837a66fffffffff,2.0,2.0,0.0
837a6efffffffff,8.0,8.0,0.0
839480fffffffff,1.0,0.0,1.0
839481fffffffff,2.0,0.0,2.0
839692fffffffff,9.0,9.0,0.0
83b880fffffffff,1.0,0.0,1.0
83b9a5fffffffff,2.0,0.0,2.0
83be08fffffffff,4.0,0.0,4.0
83be0afffffffff,1.0,0.0,1.0
83be0cfffffffff,21.0,0.0,21.0
83be0dfffffffff,7.0,0.0,7.0
83be18fffffffff,2.0,0.0,2.0
83be19fffffffff,3.0,0.0,3.0
83be1dfffffffff,2.0,0.0,2.0
83be42fffffffff,4.0,0.0,4.0
83be45fffffffff,1.0,0.0,0.0
83be63fffffffff,17.0,0.0,17.0
83be6efffffffff,5.0,0.0,5.0
83be72fffffffff,38.0,0.0,38.0
83be88fffffffff,7.0,0.0,7.0
83be89fffffffff,1.0,0.0,1.0
83be8dfffffffff,16.0,0.0,16.0
83bea9fffffffff,5.0,0.0,5.0
83beabfffffffff,1.0,0.0,1.0
83bef2fffffffff,2.0,0.0,2.0
