cell_id,Thryothorus ludovicianus,Thryothorus ludovicianus [ludovicianus Group],Thryothorus ludovicianus [berlandieri Group],Thryothorus ludovicianus albinucha/subfulvus
840e49bffffffff,2.0,0.0,0.0,0.0
840e4dbffffffff,7.0,0.0,0.0,0.0
842600bffffffff,2.0,0.0,0.0,0.0
8426015ffffffff,2.0,0.0,0.0,0.0
842601dffffffff,4.0,0.0,0.0,0.0
8426039ffffffff,10.0,0.0,0.0,0.0
8426055ffffffff,1.0,0.0,0.0,0.0
8426085ffffffff,4.0,0.0,0.0,0.0
84260a9ffffffff,2.0,2.0,0.0,0.0
8426115ffffffff,2.0,0.0,0.0,0.0
842611bffffffff,3.0,0.0,0.0,0.0
8426197ffffffff,2.0,0.0,0.0,0.0
842620dffffffff,1.0,0.0,0.0,0.0
8426215ffffffff,2.0,0.0,0.0,0.0
8426219ffffffff,2.0,0.0,0.0,0.0
8426245ffffffff,17.0,0.0,0.0,0.0
842624bffffffff,1.0,0.0,0.0,0.0
84262a7ffffffff,1.0,0.0,0.0,0.0
84262adffffffff,2.0,0.0,0.0,0.0
84262c3ffffffff,2.0,0.0,0.0,0.0
84262c9ffffffff,27.0,0.0,0.0,0.0
84262cbffffffff,9.0,0.0,0.0,0.0
84262cdffffffff,71.0,1.0,0.0,0.0
84262d1ffffffff,4.0,0.0,0.0,0.0
84262d9ffffffff,2.0,0.0,0.0,0.0
84262dbffffffff,30.0,0.0,0.0,0.0
84262ddffffffff,14.0,0.0,0.0,0.0
84262ebffffffff,2.0,0.0,0.0,0.0
8426405ffffffff,1.0,0.0,0.0,0.0
842640dffffffff,3.0,0.0,0.0,0.0
8426417ffffffff,2.0,0.0,0.0,0.0
8426425ffffffff,2.0,0.0,0.0,0.0
8426429ffffffff,1.0,0.0,0.0,0.0
842642bffffffff,1.0,0.0,0.0,0.0
8426437ffffffff,1.0,0.0,0.0,0.0
8426439ffffffff,4.0,0.0,0.0,0.0
842643bffffffff,2.0,0.0,0.0,0.0
8426443ffffffff,3.0,0.0,0.0,0.0
8426459ffffffff,1.0,0.0,0.0,0.0
8426461ffffffff,2.0,0.0,0.0,0.0
8426463ffffffff,26.0,1.0,0.0,0.0
8426467ffffffff,1.0,0.0,0.0,0.0
842646bffffffff,4.0,0.0,0.0,0.0
8426481ffffffff,2.0,0.0,0.0,0.0
8426483ffffffff,3.0,3.0,0.0,0.0
842648dffffffff,7.0,7.0,0.0,0.0
8426493ffffffff,1.0,0.0,0.0,0.0
842649dffffffff,14.0,14.0,0.0,0.0
84264a5ffffffff,1.0,0.0,0.0,0.0
84264a7ffffffff,6.0,5.0,0.0,0.0
84264abffffffff,2.0,2.0,0.0,0.0
84264adffffffff,6.0,4.0,0.0,0.0
84264b9ffffffff,4.0,4.0,0.0,0.0
84264c3ffffffff,1.0,1.0,0.0,0.0
84264c7ffffffff,34.0,32.0,0.0,0.0
84264d1ffffffff,7.0,5.0,0.0,0.0
84264dbffffffff,4.0,4.0,0.0,0.0
84264e1ffffffff,8.0,0.0,0.0,0.0
84264e5ffffffff,17.0,14.0,0.0,0.0
84264e7ffffffff,2.0,2.0,0.0,0.0
842653bffffffff,4.0,0.0,0.0,0.0
8426541ffffffff,1.0,0.0,0.0,0.0
8426551ffffffff,3.0,0.0,0.0,0.0
8426561ffffffff,3.0,0.0,0.0,0.0
8426563ffffffff,1.0,0.0,0.0,0.0
8426565ffffffff,5.0,2.0,0.0,0.0
8426567ffffffff,14.0,0.0,0.0,0.0
8426593ffffffff,1.0,0.0,0.0,0.0
8426599ffffffff,11.0,0.0,0.0,0.0
842659bffffffff,3.0,1.0,0.0,0.0
84265a9ffffffff,1.0,0.0,0.0,0.0
84265adffffffff,2.0,0.0,0.0,0.0
84265b5ffffffff,4.0,0.0,0.0,0.0
84265d3ffffffff,2.0,2.0,0.0,0.0
84265dbffffffff,8.0,8.0,0.0,0.0
8426611ffffffff,1.0,1.0,0.0,0.0
8426615ffffffff,1.0,1.0,0.0,0.0
8426617ffffffff,1.0,1.0,0.0,0.0
8426625ffffffff,1.0,1.0,0.0,0.0
842662dffffffff,4.0,0.0,0.0,0.0
842663bffffffff,1.0,1.0,0.0,0.0
8426641ffffffff,11.0,0.0,0.0,0.0
8426645ffffffff,24.0,0.0,0.0,0.0
842664dffffffff,7.0,0.0,0.0,0.0
8426661ffffffff,7.0,0.0,0.0,0.0
8426665ffffffff,9.0,0.0,0.0,0.0
8426669ffffffff,22.0,0.0,0.0,0.0
842666bffffffff,2.0,0.0,0.0,0.0
842669bffffffff,9.0,0.0,0.0,0.0
84266a9ffffffff,1.0,0.0,0.0,0.0
84266adffffffff,1.0,1.0,0.0,0.0
84266bbffffffff,1.0,0.0,0.0,0.0
84266d3ffffffff,2.0,0.0,0.0,0.0
84266e1ffffffff,1.0,0.0,0.0,0.0
8426723ffffffff,2.0,2.0,0.0,0.0
8426747ffffffff,3.0,0.0,0.0,0.0
842675dffffffff,2.0,0.0,0.0,0.0
842681bffffffff,10.0,0.0,0.0,0.0
8426881ffffffff,114.0,0.0,0.0,0.0
8426887ffffffff,2.0,0.0,0.0,0.0
8426893ffffffff,17.0,0.0,0.0,0.0
84268c5ffffffff,2.0,0.0,0.0,0.0
84268cdffffffff,30.0,0.0,0.0,0.0
84268d7ffffffff,1.0,0.0,0.0,0.0
8426a87ffffffff,4.0,0.0,0.0,0.0
8426a8bffffffff,11.0,0.0,0.0,0.0
8426a95ffffffff,1.0,0.0,0.0,0.0
8426a97ffffffff,4.0,0.0,0.0,0.0
8426a99ffffffff,4.0,0.0,0.0,0.0
8426aa5ffffffff,10.0,0.0,0.0,0.0
8426ae7ffffffff,2.0,0.0,0.0,0.0
8426c49ffffffff,2.0,0.0,0.0,0.0
8426c4dffffffff,1.0,0.0,0.0,0.0
8426c89ffffffff,1.0,0.0,0.0,0.0
8426cb1ffffffff,1.0,0.0,0.0,0.0
8426d05ffffffff,3.0,0.0,0.0,0.0
8426d11ffffffff,1.0,0.0,0.0,0.0
8426d15ffffffff,13.0,0.0,0.0,0.0
8426d35ffffffff,1.0,0.0,0.0,0.0
8426d5bffffffff,4.0,0.0,0.0,0.0
