cell_id,Poephila personata,Poephila personata personata,Poephila personata leucotis
839450fffffffff,11.0,0.0,0.0
839451fffffffff,490.0,69.0,0.0
839453fffffffff,18.0,4.0,0.0
839459fffffffff,6.0,0.0,0.0
83945afffffffff,169.0,44.0,0.0
83945bfffffffff,9.0,0.0,0.0
83945cfffffffff,126.0,13.0,0.0
83945efffffffff,65.0,9.0,0.0
8394abfffffffff,3.0,0.0,0.0
8394c1fffffffff,2.0,0.0,0.0
8394c4fffffffff,15.0,0.0,0.0
8394c6fffffffff,3.0,0.0,0.0
8394ccfffffffff,7.0,0.0,0.0
8394e1fffffffff,1.0,0.0,0.0
8394e2fffffffff,171.0,23.0,0.0
8394e3fffffffff,48.0,3.0,0.0
8394e8fffffffff,117.0,4.0,0.0
8394e9fffffffff,8.0,2.0,0.0
8394eafffffffff,15.0,0.0,0.0
8394ebfffffffff,11.0,2.0,0.0
8394edfffffffff,425.0,85.0,0.0
8394eefffffffff,279.0,48.0,0.0
8394f0fffffffff,8.0,2.0,0.0
8394f1fffffffff,1.0,0.0,0.0
8394f2fffffffff,3.0,0.0,0.0
8394f4fffffffff,3.0,0.0,0.0
8394f5fffffffff,5.0,0.0,0.0
8394f6fffffffff,20.0,0.0,0.0
839c01fffffffff,40.0,0.0,16.0
839c03fffffffff,2.0,0.0,2.0
839c0afffffffff,2.0,0.0,0.0
839c0efffffffff,93.0,0.0,49.0
839c2cfffffffff,1.0,0.0,0.0
839c2dfffffffff,85.0,0.0,0.0
839c41fffffffff,9.0,0.0,0.0
839c43fffffffff,6.0,0.0,0.0
839c44fffffffff,2.0,0.0,0.0
839c45fffffffff,3.0,0.0,0.0
839c48fffffffff,4.0,0.0,0.0
839c49fffffffff,28.0,6.0,0.0
839c4afffffffff,3.0,0.0,0.0
839c4bfffffffff,7.0,0.0,0.0
839c4cfffffffff,4.0,0.0,0.0
839c4efffffffff,2.0,0.0,0.0
839c60fffffffff,1.0,0.0,0.0
839c66fffffffff,4.0,0.0,0.0
839c6afffffffff,2.0,0.0,0.0
839c6efffffffff,2.0,0.0,0.0
