cell_id,Leiothlypis ruficapilla,Leiothlypis ruficapilla ruficapilla,Leiothlypis ruficapilla ridgwayi
840c415ffffffff,3.0,0.0,0.0
840c733ffffffff,2.0,0.0,0.0
840ca43ffffffff,3.0,0.0,0.0
840d039ffffffff,1.0,0.0,0.0
840d5a9ffffffff,1.0,0.0,0.0
840e485ffffffff,1.0,0.0,0.0
840e487ffffffff,4.0,0.0,0.0
840e497ffffffff,2.0,0.0,0.0
840e49bffffffff,2.0,0.0,0.0
840e4abffffffff,1.0,0.0,0.0
840e4b9ffffffff,1.0,0.0,0.0
840e4dbffffffff,5.0,0.0,0.0
840e805ffffffff,3.0,0.0,0.0
840ec51ffffffff,1.0,1.0,0.0
840ec85ffffffff,2.0,2.0,0.0
840ec95ffffffff,2.0,2.0,0.0
840ec99ffffffff,58.0,58.0,0.0
840ec9bffffffff,43.0,43.0,0.0
840ec9dffffffff,48.0,48.0,0.0
840ecabffffffff,2.0,0.0,0.0
840ecc1ffffffff,2.0,0.0,0.0
840ecc9ffffffff,2.0,0.0,0.0
840ecd1ffffffff,2.0,2.0,0.0
840ecd7ffffffff,77.0,77.0,0.0
840eea7ffffffff,2.0,2.0,0.0
840eeabffffffff,3.0,0.0,0.0
84121abffffffff,2.0,0.0,0.0
8412539ffffffff,1.0,0.0,0.0
841253bffffffff,2.0,0.0,0.0
8412591ffffffff,6.0,0.0,0.0
84125d3ffffffff,1.0,0.0,0.0
84125d9ffffffff,3.0,0.0,0.0
8412893ffffffff,2.0,0.0,0.0
84128bdffffffff,4.0,0.0,0.0
8412b03ffffffff,4.0,0.0,0.0
8412b63ffffffff,2.0,0.0,0.0
8412c11ffffffff,17.0,0.0,0.0
8412c13ffffffff,2.0,0.0,0.0
8412c17ffffffff,2.0,0.0,0.0
8412c1bffffffff,4.0,0.0,0.0
8412c1dffffffff,2.0,0.0,0.0
8412c87ffffffff,1.0,0.0,0.0
8412c8bffffffff,7.0,0.0,0.0
8412c9dffffffff,2.0,0.0,0.0
