cell_id,Cuculus clamosus,Cuculus clamosus gabonensis,Cuculus clamosus clamosus
846a5abffffffff,5.0,0.0,0.0
846ac9bffffffff,8.0,0.0,0.0
846ade7ffffffff,2.0,0.0,0.0
8475295ffffffff,3.0,0.0,0.0
847a413ffffffff,1.0,0.0,0.0
847a455ffffffff,5.0,0.0,0.0
847a459ffffffff,5.0,0.0,0.0
847a481ffffffff,4.0,0.0,0.0
847a4a9ffffffff,1.0,0.0,0.0
847a4c5ffffffff,1.0,0.0,0.0
847a4c9ffffffff,3.0,0.0,0.0
847a4dbffffffff,2.0,0.0,0.0
847a4ddffffffff,2.0,2.0,0.0
847a5ddffffffff,2.0,0.0,0.0
847a609ffffffff,2.0,0.0,0.0
847a635ffffffff,1.0,0.0,0.0
847a637ffffffff,2.0,0.0,0.0
847a657ffffffff,22.0,0.0,0.0
847a683ffffffff,2.0,0.0,0.0
847a6e5ffffffff,2.0,0.0,0.0
847ae9bffffffff,2.0,0.0,0.0
84960b5ffffffff,2.0,0.0,0.0
84971c1ffffffff,2.0,0.0,0.0
84bc545ffffffff,2.0,0.0,0.0
84bcd29ffffffff,2.0,0.0,2.0
84bcdddffffffff,2.0,0.0,0.0
