cell_id,Turdus ignobilis,Turdus ignobilis ignobilis/goodfellowi,Turdus ignobilis debilis
82660ffffffffff,9.0,0.0,0.0
82661ffffffffff,1.0,1.0,0.0
826627fffffffff,4.0,0.0,0.0
82662ffffffffff,1.0,0.0,1.0
826647fffffffff,7.0,0.0,0.0
826657fffffffff,2.0,0.0,0.0
826677fffffffff,13.0,0.0,0.0
8266c7fffffffff,7.0,0.0,7.0
8266dffffffffff,25.0,0.0,21.0
8266e7fffffffff,3.0,1.0,0.0
8266f7fffffffff,12.0,0.0,0.0
82675ffffffffff,10.0,0.0,0.0
828a47fffffffff,7.0,0.0,0.0
828adffffffffff,4.0,0.0,0.0
828b67fffffffff,12.0,0.0,12.0
828e67fffffffff,2.0,0.0,2.0
828f77fffffffff,2.0,0.0,0.0
