cell_id,Chlorospingus canigularis,Chlorospingus canigularis olivaceiceps,Chlorospingus canigularis [canigularis Group]
8466083ffffffff,21.0,0.0,0.0
8466087ffffffff,7.0,0.0,0.0
8466089ffffffff,20.0,0.0,0.0
846608dffffffff,230.0,0.0,0.0
84660b1ffffffff,2.0,0.0,0.0
84660b3ffffffff,2.0,0.0,0.0
84660b5ffffffff,5.0,0.0,0.0
84660b7ffffffff,4.0,0.0,0.0
84660b9ffffffff,51.0,0.0,0.0
84660bbffffffff,2.0,0.0,0.0
84660bdffffffff,117.0,0.0,0.0
84660cbffffffff,29.0,0.0,2.0
84660ddffffffff,9.0,0.0,0.0
8466181ffffffff,3.0,0.0,0.0
8466183ffffffff,11.0,0.0,0.0
8466185ffffffff,1.0,0.0,0.0
846618bffffffff,1.0,0.0,0.0
8466193ffffffff,5.0,0.0,0.0
846619dffffffff,3.0,0.0,0.0
84661b1ffffffff,11.0,0.0,0.0
84661b3ffffffff,97.0,0.0,8.0
84661b9ffffffff,16.0,0.0,0.0
84661bbffffffff,35.0,0.0,0.0
84661d1ffffffff,2.0,0.0,0.0
84661d9ffffffff,3.0,0.0,0.0
84662b7ffffffff,1.0,0.0,0.0
846656dffffffff,1.0,0.0,0.0
8466b49ffffffff,159.0,0.0,0.0
8466b4dffffffff,643.0,0.0,0.0
8466b5bffffffff,20.0,0.0,0.0
8466c0dffffffff,13.0,0.0,0.0
8466c47ffffffff,18.0,0.0,0.0
8466c63ffffffff,12.0,0.0,0.0
8466d0bffffffff,2.0,0.0,0.0
8466d31ffffffff,16.0,0.0,0.0
8466d35ffffffff,5.0,0.0,1.0
8466d37ffffffff,2.0,0.0,2.0
8466d55ffffffff,3.0,0.0,0.0
8466da7ffffffff,9.0,0.0,0.0
8466dadffffffff,26.0,0.0,1.0
8466de1ffffffff,424.0,0.0,51.0
8466de9ffffffff,6.0,0.0,0.0
8466dedffffffff,15.0,0.0,2.0
8466e01ffffffff,5.0,0.0,0.0
8466e07ffffffff,2.0,0.0,0.0
8466e09ffffffff,59.0,0.0,0.0
8466e0bffffffff,14.0,0.0,0.0
8466e0dffffffff,7.0,0.0,0.0
8466e25ffffffff,1.0,0.0,0.0
8466e41ffffffff,2.0,0.0,0.0
8466e43ffffffff,5.0,0.0,0.0
8466e45ffffffff,1.0,0.0,0.0
8466e47ffffffff,350.0,0.0,0.0
8466e49ffffffff,3.0,0.0,0.0
8466e55ffffffff,16.0,0.0,0.0
8466e61ffffffff,3.0,0.0,0.0
8466e63ffffffff,1.0,0.0,0.0
8466e65ffffffff,658.0,0.0,14.0
8466e67ffffffff,10.0,0.0,0.0
8466e69ffffffff,2.0,0.0,0.0
8466e6dffffffff,13.0,0.0,1.0
8466f0bffffffff,5.0,0.0,0.0
8466f15ffffffff,57.0,0.0,0.0
8466f19ffffffff,36.0,0.0,0.0
8466f1dffffffff,1284.0,0.0,20.0
8466f3bffffffff,3.0,0.0,0.0
8466f51ffffffff,6.0,0.0,0.0
8466f53ffffffff,37.0,0.0,0.0
8466f57ffffffff,48.0,0.0,0.0
8466f59ffffffff,38.0,0.0,0.0
8466f5bffffffff,31.0,0.0,0.0
8466f5dffffffff,15.0,0.0,0.0
84679a7ffffffff,15.0,0.0,0.0
846d69bffffffff,133.0,0.0,0.0
848b617ffffffff,46.0,0.0,0.0
848b639ffffffff,2.0,0.0,0.0
848f08bffffffff,1.0,0.0,0.0
848f0d1ffffffff,20.0,0.0,6.0
848f0d5ffffffff,1.0,0.0,0.0
848f0dbffffffff,290.0,0.0,27.0
848f291ffffffff,16.0,0.0,0.0
848f293ffffffff,5.0,0.0,0.0
848f295ffffffff,14.0,0.0,0.0
848f297ffffffff,5.0,0.0,0.0
848f29bffffffff,2.0,0.0,0.0
848f2a9ffffffff,3.0,0.0,2.0
848f2abffffffff,7.0,0.0,0.0
848f2bbffffffff,13.0,0.0,0.0
848f2cdffffffff,4.0,0.0,0.0
848f2ddffffffff,3.0,0.0,3.0
848f461ffffffff,1.0,0.0,0.0
848f465ffffffff,17.0,0.0,2.0
848f467ffffffff,2.0,0.0,0.0
848f549ffffffff,10.0,0.0,0.0
848f705ffffffff,86.0,0.0,22.0
848f721ffffffff,16.0,0.0,2.0
848f729ffffffff,337.0,0.0,39.0
848f72bffffffff,8.0,0.0,2.0
848f733ffffffff,176.0,0.0,10.0
848f737ffffffff,2.0,0.0,0.0
848f745ffffffff,10.0,0.0,3.0
848f74dffffffff,4.0,0.0,0.0
848f763ffffffff,22.0,0.0,0.0
848f765ffffffff,1.0,0.0,0.0
848f76bffffffff,56.0,0.0,1.0
