cell_id,Arremon taciturnus,Arremon taciturnus axillaris,Arremon taciturnus taciturnus/nigrirostris
825f07fffffffff,69.0,0.0,0.0
825f17fffffffff,28.0,0.0,0.0
825f1ffffffffff,2.0,0.0,0.0
825f2ffffffffff,62.0,0.0,0.0
825f47fffffffff,15.0,0.0,0.0
825f6ffffffffff,18.0,0.0,0.0
825f77fffffffff,56.0,0.0,1.0
82660ffffffffff,152.0,3.0,0.0
82662ffffffffff,25.0,0.0,0.0
826647fffffffff,6.0,0.0,0.0
82664ffffffffff,3.0,0.0,0.0
826657fffffffff,60.0,0.0,0.0
82665ffffffffff,287.0,0.0,5.0
82666ffffffffff,2.0,0.0,0.0
8266c7fffffffff,1.0,0.0,0.0
8266cffffffffff,2.0,0.0,0.0
8266e7fffffffff,2393.0,132.0,0.0
8266effffffffff,247.0,0.0,0.0
82675ffffffffff,52.0,0.0,0.0
828007fffffffff,48.0,0.0,0.0
82800ffffffffff,4.0,0.0,0.0
828017fffffffff,432.0,0.0,22.0
82802ffffffffff,3.0,0.0,0.0
828037fffffffff,130.0,0.0,9.0
828047fffffffff,164.0,0.0,0.0
82804ffffffffff,28.0,0.0,0.0
828057fffffffff,4.0,0.0,0.0
828067fffffffff,82.0,0.0,0.0
82806ffffffffff,5.0,0.0,0.0
828077fffffffff,15.0,0.0,0.0
828107fffffffff,19.0,0.0,1.0
828117fffffffff,22.0,0.0,2.0
82811ffffffffff,7.0,0.0,0.0
82812ffffffffff,1.0,0.0,0.0
828137fffffffff,260.0,0.0,12.0
828147fffffffff,165.0,0.0,0.0
82814ffffffffff,311.0,0.0,1.0
828157fffffffff,5.0,0.0,0.0
82815ffffffffff,38.0,0.0,0.0
828167fffffffff,41.0,0.0,0.0
828177fffffffff,203.0,0.0,0.0
828187fffffffff,428.0,0.0,38.0
82818ffffffffff,51.0,0.0,0.0
82819ffffffffff,57.0,0.0,0.0
8281a7fffffffff,29.0,0.0,4.0
8281affffffffff,7.0,0.0,0.0
828a07fffffffff,7.0,0.0,3.0
828a17fffffffff,1.0,0.0,0.0
828a27fffffffff,9.0,0.0,0.0
828a37fffffffff,4.0,0.0,0.0
828a5ffffffffff,3.0,0.0,2.0
828a87fffffffff,22.0,0.0,1.0
828a9ffffffffff,5.0,0.0,0.0
828ab7fffffffff,3.0,0.0,0.0
828adffffffffff,18.0,0.0,4.0
828af7fffffffff,143.0,0.0,15.0
828b07fffffffff,2.0,0.0,0.0
828b17fffffffff,1.0,0.0,0.0
828b1ffffffffff,2.0,0.0,0.0
828b27fffffffff,3.0,0.0,1.0
828b2ffffffffff,46.0,0.0,2.0
828b47fffffffff,212.0,0.0,2.0
828b4ffffffffff,8.0,0.0,0.0
828b57fffffffff,2.0,0.0,0.0
828b5ffffffffff,5.0,0.0,0.0
828b67fffffffff,457.0,0.0,9.0
828b6ffffffffff,25.0,0.0,0.0
828b77fffffffff,70.0,0.0,0.0
828b87fffffffff,6.0,0.0,0.0
828b8ffffffffff,4.0,0.0,0.0
828b9ffffffffff,12.0,0.0,0.0
828ba7fffffffff,7.0,0.0,0.0
828bb7fffffffff,194.0,0.0,12.0
828f6ffffffffff,3.0,0.0,0.0
82a85ffffffffff,2.0,0.0,0.0
82a887fffffffff,6.0,0.0,0.0
82a897fffffffff,36.0,0.0,6.0
82a8c7fffffffff,204.0,0.0,2.0
82a8cffffffffff,6.0,0.0,2.0
82a8dffffffffff,76.0,0.0,0.0
82a8e7fffffffff,6.0,0.0,0.0
82a8effffffffff,8.0,0.0,0.0
82b327fffffffff,3.0,0.0,1.0
