cell_id,Nesotriccus murinus,Nesotriccus murinus incomtus/eremonomus,Nesotriccus murinus murinus/wagae
835f29fffffffff,4.0,0.0,0.0
836613fffffffff,2.0,2.0,0.0
836622fffffffff,1.0,1.0,0.0
8366a1fffffffff,3.0,3.0,0.0
8366a5fffffffff,1.0,1.0,0.0
8366b0fffffffff,1.0,1.0,0.0
8366b5fffffffff,56.0,56.0,0.0
8366c0fffffffff,15.0,10.0,0.0
8366c1fffffffff,3.0,3.0,0.0
8366c2fffffffff,7.0,7.0,0.0
8366c5fffffffff,7.0,0.0,0.0
8366d0fffffffff,3.0,3.0,0.0
8366d1fffffffff,31.0,31.0,0.0
8366d3fffffffff,5.0,5.0,0.0
8366dafffffffff,20.0,0.0,0.0
8366defffffffff,10.0,0.0,0.0
8366e6fffffffff,12.0,12.0,0.0
8366ecfffffffff,4.0,4.0,0.0
836741fffffffff,1.0,1.0,0.0
83674cfffffffff,1.0,1.0,0.0
836759fffffffff,1.0,1.0,0.0
83675cfffffffff,3.0,3.0,0.0
83675efffffffff,5.0,5.0,0.0
838133fffffffff,1.0,0.0,1.0
838adbfffffffff,1.0,0.0,0.0
838b20fffffffff,57.0,0.0,57.0
838b21fffffffff,1.0,0.0,1.0
838b22fffffffff,11.0,0.0,11.0
838b26fffffffff,1.0,0.0,1.0
838b2cfffffffff,1.0,0.0,1.0
838b2dfffffffff,3.0,0.0,3.0
838b56fffffffff,1.0,0.0,1.0
838b61fffffffff,1.0,0.0,1.0
838b6cfffffffff,1.0,0.0,1.0
838b75fffffffff,2.0,0.0,2.0
838e64fffffffff,1.0,0.0,1.0
838f4bfffffffff,6.0,0.0,6.0
83a829fffffffff,1.0,0.0,1.0
83a944fffffffff,3.0,0.0,3.0
83a946fffffffff,52.0,0.0,52.0
83a94cfffffffff,2.0,0.0,2.0
83a94dfffffffff,2.0,0.0,2.0
83a953fffffffff,5.0,0.0,5.0
83a968fffffffff,4.0,0.0,4.0
83a96bfffffffff,2.0,0.0,2.0
83a96cfffffffff,2.0,0.0,2.0
83a96efffffffff,3.0,0.0,3.0
83a973fffffffff,1.0,0.0,1.0
83b26dfffffffff,2.0,0.0,2.0
83b325fffffffff,6.0,0.0,6.0
83b342fffffffff,4.0,0.0,4.0
83b344fffffffff,1.0,0.0,1.0
83b34afffffffff,1.0,0.0,1.0
83b34dfffffffff,3.0,0.0,3.0
83b35cfffffffff,2.0,0.0,2.0
83b35efffffffff,5.0,0.0,5.0
83b362fffffffff,3.0,0.0,3.0
