cell_id,Periparus ater,Periparus ater britannicus/hibernicus,Periparus ater [ater Group],Periparus ater ledouci/atlas,Periparus ater cypriotes,Periparus ater [phaeonotus Group],Periparus ater melanolophus,Periparus ater [aemodius Group],Periparus ater ptilosus/kuatunensis
8408a53ffffffff,4.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
84095bbffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
840991bffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8411811ffffffff,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
841181dffffffff,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
8411aa7ffffffff,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
8411ab1ffffffff,13.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0
8411ab9ffffffff,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
8411ae3ffffffff,6.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0
8414963ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84149adffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8418053ffffffff,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84182a5ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84182c1ffffffff,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84182c3ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8418493ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8418495ffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84184b1ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84184b3ffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84184b9ffffffff,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
84184bbffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84184bdffffffff,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
84185b1ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84185b3ffffffff,11.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
84185b7ffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84185bbffffffff,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8418729ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8418763ffffffff,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8419013ffffffff,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84190e9ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8419421ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8419423ffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8419427ffffffff,16.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8419481ffffffff,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
8419485ffffffff,4.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
8419557ffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8419591ffffffff,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84196b3ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84196b7ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
841e011ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
841e049ffffffff,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
841e085ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
841e0a9ffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
841e0b3ffffffff,7.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0
841e0e3ffffffff,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
841e163ffffffff,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
