cell_id,Spinus magellanicus,Spinus magellanicus longirostris,Spinus magellanicus [capitalis Group],Spinus magellanicus [magellanicus Group]
825f77fffffffff,12.0,0.0,0.0,0.0
82661ffffffffff,2.0,0.0,0.0,0.0
8266d7fffffffff,48.0,0.0,0.0,0.0
8266e7fffffffff,18.0,0.0,0.0,0.0
828b27fffffffff,2.0,0.0,0.0,0.0
828b67fffffffff,5.0,0.0,0.0,0.0
828b6ffffffffff,2.0,0.0,0.0,0.0
828e67fffffffff,4.0,0.0,0.0,0.0
828f2ffffffffff,4.0,0.0,0.0,0.0
828f4ffffffffff,11.0,0.0,0.0,0.0
828f5ffffffffff,2.0,0.0,0.0,0.0
828f77fffffffff,4.0,0.0,0.0,0.0
82a827fffffffff,2.0,0.0,0.0,0.0
82a90ffffffffff,7.0,0.0,0.0,0.0
82a92ffffffffff,1.0,0.0,0.0,0.0
82a967fffffffff,26.0,0.0,0.0,0.0
82a96ffffffffff,7.0,0.0,0.0,0.0
82b227fffffffff,1.0,0.0,0.0,0.0
82b24ffffffffff,452.0,0.0,0.0,0.0
82b26ffffffffff,124.0,0.0,0.0,0.0
82b277fffffffff,4.0,0.0,0.0,0.0
82b2effffffffff,3.0,0.0,0.0,0.0
82b307fffffffff,7.0,0.0,0.0,0.0
82c2c7fffffffff,19.0,0.0,0.0,0.0
82c2cffffffffff,144.0,0.0,0.0,0.0
82c2d7fffffffff,4.0,0.0,0.0,0.0
82c2e7fffffffff,5.0,0.0,0.0,0.0
82c2effffffffff,37.0,0.0,0.0,0.0
82c2f7fffffffff,4.0,0.0,0.0,0.0
82c34ffffffffff,4.0,0.0,0.0,0.0
82c367fffffffff,1.0,0.0,0.0,0.0
82c377fffffffff,2.0,0.0,0.0,0.0
