cell_id,Stilpnia cayana,Stilpnia cayana cayana/fulvescens,Stilpnia cayana [flava Group]
825f1ffffffffff,4.0,4.0,0.0
825f47fffffffff,3.0,0.0,0.0
825f77fffffffff,1.0,0.0,0.0
826607fffffffff,28.0,6.0,0.0
82660ffffffffff,1.0,0.0,0.0
826647fffffffff,1.0,0.0,0.0
826667fffffffff,1.0,0.0,0.0
8266e7fffffffff,6.0,0.0,0.0
82674ffffffffff,2.0,0.0,0.0
82675ffffffffff,15.0,0.0,0.0
828adffffffffff,3.0,0.0,0.0
828b1ffffffffff,2.0,0.0,0.0
82a82ffffffffff,2.0,0.0,0.0
82a88ffffffffff,1.0,0.0,1.0
82a947fffffffff,45.0,0.0,0.0
82a95ffffffffff,2.0,0.0,0.0
