cell_id,Heterophasia pulchella,Heterophasia pulchella nigroaurita,Heterophasia pulchella pulchella
843c437ffffffff,61.0,1.0,0.0
843c43dffffffff,1.0,0.0,0.0
843c513ffffffff,1.0,0.0,0.0
843c521ffffffff,503.0,0.0,0.0
843c525ffffffff,47.0,0.0,0.0
843c527ffffffff,1621.0,0.0,0.0
843c533ffffffff,51.0,0.0,0.0
843c581ffffffff,972.0,0.0,0.0
843c583ffffffff,27.0,0.0,0.0
843c585ffffffff,1.0,0.0,0.0
843c587ffffffff,87.0,0.0,0.0
843c589ffffffff,1.0,0.0,0.0
843c58dffffffff,1.0,0.0,0.0
843c595ffffffff,195.0,0.0,0.0
843c597ffffffff,1.0,0.0,0.0
843c5b1ffffffff,2.0,0.0,0.0
843c5b7ffffffff,73.0,0.0,0.0
843c5b9ffffffff,6.0,0.0,0.0
843c5bbffffffff,7.0,0.0,0.0
843c5bdffffffff,35.0,0.0,0.0
843c5c1ffffffff,2.0,0.0,0.0
843c5c5ffffffff,6.0,0.0,0.0
843c5c7ffffffff,2.0,0.0,0.0
843c5cbffffffff,82.0,1.0,0.0
843c5d1ffffffff,1.0,0.0,0.0
843c5d5ffffffff,12.0,0.0,0.0
843c5ddffffffff,8.0,0.0,0.0
843c5e1ffffffff,1.0,0.0,0.0
843c5e3ffffffff,3.0,0.0,0.0
843c5ebffffffff,2.0,0.0,0.0
843ce83ffffffff,1.0,0.0,0.0
843ce85ffffffff,27.0,0.0,0.0
843ce87ffffffff,1.0,0.0,0.0
843ce95ffffffff,272.0,0.0,0.0
8440417ffffffff,2.0,0.0,0.0
84404c1ffffffff,3.0,0.0,0.0
84404c3ffffffff,5.0,0.0,0.0
84404c5ffffffff,274.0,0.0,1.0
84404c7ffffffff,16.0,0.0,0.0
84404cdffffffff,14.0,0.0,0.0
84404ddffffffff,13.0,0.0,0.0
84404e1ffffffff,32.0,0.0,0.0
84404e7ffffffff,2.0,0.0,0.0
84404e9ffffffff,3.0,0.0,0.0
84404edffffffff,1.0,0.0,0.0
8440591ffffffff,46.0,0.0,0.0
8440595ffffffff,1.0,0.0,0.0
84405b9ffffffff,1.0,0.0,0.0
84406b7ffffffff,15.0,0.0,0.0
