cell_id,Falco sparverius,Falco sparverius [sparverius Group],Falco sparverius paulus,Falco sparverius caribaearum,Falco sparverius dominicensis,Falco sparverius sparverioides,Falco sparverius [cinnamominus Group],Falco sparverius fernandensis
820c47fffffffff,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
820c5ffffffffff,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
820c67fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
820c77fffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
820ceffffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
820d07fffffffff,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
820d5ffffffffff,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
820d67fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
820d77fffffffff,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
820e6ffffffffff,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
820ec7fffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
820ecffffffffff,31.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0
821237fffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
821257fffffffff,14.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0
82125ffffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82128ffffffffff,36.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0
8212b7fffffffff,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8212c7fffffffff,7.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0
8212cffffffffff,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8212d7fffffffff,47.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0
8212dffffffffff,24.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0
8212e7fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8212effffffffff,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8212f7fffffffff,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
821387fffffffff,64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
