cell_id,Thalasseus sandvicensis,Thalasseus sandvicensis sandvicensis,Thalasseus sandvicensis acuflavidus,Thalasseus sandvicensis eurygnathus,Thalasseus sandvicensis acuflavidus x eurygnathus
8407433ffffffff,4.0,0.0,0.0,0.0,0.0
8407733ffffffff,2.0,0.0,0.0,0.0,0.0
8408961ffffffff,2.0,0.0,0.0,0.0,0.0
8408995ffffffff,2.0,0.0,0.0,0.0,0.0
840991bffffffff,5.0,0.0,0.0,0.0,0.0
841801dffffffff,4.0,0.0,0.0,0.0,0.0
8418053ffffffff,1.0,1.0,0.0,0.0,0.0
8418059ffffffff,5.0,3.0,0.0,0.0,0.0
8418281ffffffff,4.0,0.0,0.0,0.0,0.0
841828bffffffff,5.0,5.0,0.0,0.0,0.0
84182c1ffffffff,1.0,1.0,0.0,0.0,0.0
84182c9ffffffff,2.0,2.0,0.0,0.0,0.0
84182cbffffffff,6.0,6.0,0.0,0.0,0.0
84182e5ffffffff,40.0,35.0,0.0,0.0,0.0
8418451ffffffff,9.0,0.0,0.0,0.0,0.0
8418493ffffffff,1.0,0.0,0.0,0.0,0.0
8418495ffffffff,32.0,6.0,0.0,0.0,0.0
8418497ffffffff,2.0,0.0,0.0,0.0,0.0
84184b5ffffffff,1.0,0.0,0.0,0.0,0.0
84184bbffffffff,4.0,2.0,0.0,0.0,0.0
84184bdffffffff,3.0,0.0,0.0,0.0,0.0
8418597ffffffff,2.0,0.0,0.0,0.0,0.0
84185b5ffffffff,6.0,0.0,0.0,0.0,0.0
84185bbffffffff,48.0,2.0,0.0,0.0,0.0
841870dffffffff,1.0,0.0,0.0,0.0,0.0
841871bffffffff,3.0,2.0,0.0,0.0,0.0
8419087ffffffff,2.0,0.0,0.0,0.0,0.0
84190a9ffffffff,5.0,0.0,0.0,0.0,0.0
84190b9ffffffff,2.0,0.0,0.0,0.0,0.0
84190e3ffffffff,2.0,0.0,0.0,0.0,0.0
84192b1ffffffff,2.0,0.0,0.0,0.0,0.0
84192b3ffffffff,3.0,0.0,0.0,0.0,0.0
8419401ffffffff,21.0,6.0,0.0,0.0,0.0
8419413ffffffff,4.0,2.0,0.0,0.0,0.0
8419423ffffffff,2.0,0.0,0.0,0.0,0.0
8419431ffffffff,1.0,0.0,0.0,0.0,0.0
8419437ffffffff,1.0,0.0,0.0,0.0,0.0
8419465ffffffff,2.0,2.0,0.0,0.0,0.0
8419481ffffffff,5.0,0.0,0.0,0.0,0.0
8419485ffffffff,4.0,0.0,0.0,0.0,0.0
841948dffffffff,26.0,7.0,0.0,0.0,0.0
84194d5ffffffff,3.0,0.0,0.0,0.0,0.0
84194d9ffffffff,1.0,0.0,0.0,0.0,0.0
84194e9ffffffff,2.0,0.0,0.0,0.0,0.0
8419511ffffffff,13.0,5.0,0.0,0.0,0.0
8419583ffffffff,1.0,0.0,0.0,0.0,0.0
8419591ffffffff,2.0,0.0,0.0,0.0,0.0
841959bffffffff,67.0,17.0,0.0,0.0,0.0
84195ddffffffff,1.0,0.0,0.0,0.0,0.0
84196b1ffffffff,11.0,0.0,0.0,0.0,0.0
84196b3ffffffff,11.0,0.0,0.0,0.0,0.0
84196b7ffffffff,1.0,0.0,0.0,0.0,0.0
8419729ffffffff,1.0,0.0,0.0,0.0,0.0
8419733ffffffff,2.0,0.0,0.0,0.0,0.0
841973bffffffff,2.0,0.0,0.0,0.0,0.0
8419763ffffffff,3.0,0.0,0.0,0.0,0.0
8419769ffffffff,3.0,0.0,0.0,0.0,0.0
841976bffffffff,4.0,0.0,0.0,0.0,0.0
841aa07ffffffff,4.0,0.0,0.0,0.0,0.0
841aa23ffffffff,5.0,0.0,0.0,0.0,0.0
841aa3dffffffff,2.0,0.0,0.0,0.0,0.0
841e025ffffffff,2.0,0.0,0.0,0.0,0.0
841e02dffffffff,2.0,0.0,0.0,0.0,0.0
841e11dffffffff,3.0,0.0,0.0,0.0,0.0
841e125ffffffff,5.0,0.0,0.0,0.0,0.0
841e1c5ffffffff,2.0,0.0,0.0,0.0,0.0
841e225ffffffff,11.0,0.0,0.0,0.0,0.0
841e239ffffffff,1.0,0.0,0.0,0.0,0.0
841e341ffffffff,3.0,0.0,0.0,0.0,0.0
841e58dffffffff,2.0,0.0,0.0,0.0,0.0
841e5a5ffffffff,1.0,0.0,0.0,0.0,0.0
841e5c9ffffffff,1.0,0.0,0.0,0.0,0.0
841ea03ffffffff,4.0,0.0,0.0,0.0,0.0
841ea0bffffffff,2.0,2.0,0.0,0.0,0.0
841ea19ffffffff,1.0,0.0,0.0,0.0,0.0
841ea53ffffffff,4.0,0.0,0.0,0.0,0.0
841eab3ffffffff,1.0,0.0,0.0,0.0,0.0
841eb03ffffffff,4.0,2.0,0.0,0.0,0.0
841ec33ffffffff,2.0,0.0,0.0,0.0,0.0
841ec93ffffffff,5.0,0.0,0.0,0.0,0.0
841ec9dffffffff,7.0,0.0,0.0,0.0,0.0
841ecbbffffffff,2.0,2.0,0.0,0.0,0.0
841eccbffffffff,1.0,0.0,0.0,0.0,0.0
841ed0bffffffff,1.0,0.0,0.0,0.0,0.0
841ed93ffffffff,23.0,4.0,0.0,0.0,0.0
841eda1ffffffff,12.0,0.0,0.0,0.0,0.0
841eda7ffffffff,7.0,0.0,0.0,0.0,0.0
841edc1ffffffff,1.0,0.0,0.0,0.0,0.0
841eeb7ffffffff,5.0,0.0,0.0,0.0,0.0
841f017ffffffff,2.0,0.0,0.0,0.0,0.0
841f01dffffffff,1.0,0.0,0.0,0.0,0.0
841f03bffffffff,5.0,0.0,0.0,0.0,0.0
841f059ffffffff,1.0,0.0,0.0,0.0,0.0
841f09bffffffff,6.0,0.0,0.0,0.0,0.0
