cell_id,Muscicapa sibirica,Muscicapa sibirica sibirica,Muscicapa sibirica [cacabata Group]
820ca7fffffffff,11.0,0.0,0.0
820d07fffffffff,2.0,0.0,0.0
821657fffffffff,2.0,0.0,0.0
82165ffffffffff,1.0,0.0,0.0
82209ffffffffff,3.0,0.0,0.0
8222dffffffffff,3.0,0.0,0.0
8222effffffffff,10.0,0.0,0.0
82240ffffffffff,2.0,0.0,0.0
82255ffffffffff,2.0,2.0,0.0
822e77fffffffff,9.0,0.0,0.0
82301ffffffffff,2.0,0.0,0.0
82309ffffffffff,9.0,0.0,0.0
8230e7fffffffff,2.0,0.0,0.0
823c07fffffffff,2.0,0.0,0.0
823c0ffffffffff,10.0,0.0,0.0
823c1ffffffffff,22.0,0.0,0.0
823c37fffffffff,1.0,0.0,0.0
823c57fffffffff,1.0,0.0,0.0
823c8ffffffffff,17.0,0.0,0.0
823caffffffffff,4.0,0.0,0.0
823cc7fffffffff,14.0,0.0,0.0
823cd7fffffffff,5.0,0.0,0.0
823cdffffffffff,11.0,0.0,0.0
823ce7fffffffff,12.0,0.0,0.0
823ceffffffffff,21.0,0.0,0.0
823cf7fffffffff,18.0,0.0,0.0
823d17fffffffff,42.0,0.0,0.0
823d27fffffffff,1.0,0.0,0.0
823d37fffffffff,9.0,0.0,2.0
823daffffffffff,7.0,0.0,1.0
82402ffffffffff,5.0,0.0,0.0
82404ffffffffff,2.0,0.0,2.0
82411ffffffffff,8.0,0.0,0.0
824177fffffffff,1.0,0.0,0.0
8241b7fffffffff,2.0,0.0,0.0
824ba7fffffffff,2.0,0.0,0.0
826017fffffffff,1.0,0.0,0.0
826037fffffffff,1.0,0.0,0.0
82611ffffffffff,4.0,0.0,0.0
82640ffffffffff,2.0,0.0,0.0
826417fffffffff,26.0,0.0,2.0
82648ffffffffff,4.0,0.0,0.0
826507fffffffff,36.0,0.0,0.0
82651ffffffffff,38.0,0.0,0.0
826527fffffffff,41.0,0.0,0.0
826587fffffffff,10.0,0.0,0.0
82658ffffffffff,2.0,0.0,0.0
82659ffffffffff,2.0,0.0,0.0
8265b7fffffffff,1.0,0.0,0.0
82682ffffffffff,11.0,0.0,0.0
8268a7fffffffff,2.0,0.0,0.0
82694ffffffffff,5.0,0.0,0.0
828c27fffffffff,3.0,0.0,0.0
828c97fffffffff,3.0,0.0,0.0
829417fffffffff,26.0,0.0,0.0
