cell_id,Cinnyris sovimanga,Cinnyris sovimanga aldabrensis,Cinnyris sovimanga sovimanga,Cinnyris sovimanga apolis,Cinnyris sovimanga abbotti/buchenorum
837b2dfffffffff,1.0,1.0,0.0,0.0,0.0
83a214fffffffff,2.0,0.0,0.0,0.0,0.0
83a222fffffffff,1.0,0.0,1.0,0.0,0.0
83a223fffffffff,6.0,0.0,6.0,0.0,0.0
83a235fffffffff,2.0,0.0,2.0,0.0,0.0
83a2a4fffffffff,6.0,0.0,0.0,6.0,0.0
83a356fffffffff,1.0,0.0,1.0,0.0,0.0
83a38bfffffffff,4.0,0.0,0.0,4.0,0.0
83a38dfffffffff,4.0,0.0,4.0,0.0,0.0
83a399fffffffff,5.0,0.0,0.0,5.0,0.0
