cell_id,Hemitriccus minor,Hemitriccus minor pallens,Hemitriccus minor minor/snethlageae,Hemitriccus minor [undescribed form]
838061fffffffff,23.0,0.0,0.0,0.0
838063fffffffff,2.0,0.0,0.0,0.0
838065fffffffff,72.0,0.0,0.0,0.0
838140fffffffff,26.0,0.0,0.0,0.0
838141fffffffff,2.0,0.0,0.0,0.0
838142fffffffff,8.0,0.0,0.0,0.0
838143fffffffff,16.0,0.0,0.0,0.0
838145fffffffff,2.0,0.0,0.0,0.0
838146fffffffff,4.0,0.0,0.0,0.0
83814afffffffff,247.0,0.0,0.0,0.0
83814bfffffffff,1.0,0.0,0.0,0.0
83814dfffffffff,91.0,0.0,0.0,0.0
83814efffffffff,168.0,0.0,0.0,0.0
838158fffffffff,3.0,0.0,0.0,0.0
838159fffffffff,3.0,0.0,0.0,0.0
83815cfffffffff,7.0,0.0,0.0,0.0
83815dfffffffff,93.0,0.0,0.0,0.0
838163fffffffff,1.0,0.0,0.0,0.0
838a00fffffffff,17.0,4.0,0.0,0.0
838a01fffffffff,6.0,0.0,2.0,0.0
838a04fffffffff,1.0,0.0,0.0,0.0
838a05fffffffff,80.0,0.0,0.0,0.0
838a06fffffffff,2.0,0.0,0.0,0.0
838a10fffffffff,63.0,0.0,0.0,0.0
838a11fffffffff,1.0,0.0,0.0,0.0
838a12fffffffff,3.0,0.0,0.0,0.0
838a15fffffffff,28.0,1.0,0.0,0.0
838a1afffffffff,6.0,0.0,0.0,0.0
838a1efffffffff,2.0,0.0,0.0,0.0
838a21fffffffff,40.0,0.0,0.0,0.0
838a23fffffffff,8.0,0.0,0.0,0.0
838a24fffffffff,14.0,0.0,0.0,0.0
838a25fffffffff,3.0,0.0,0.0,0.0
838a2cfffffffff,6.0,0.0,0.0,0.0
838a31fffffffff,45.0,0.0,0.0,0.0
838a33fffffffff,12.0,0.0,1.0,0.0
838a45fffffffff,2.0,0.0,0.0,0.0
838a63fffffffff,12.0,0.0,0.0,0.0
838a80fffffffff,29.0,0.0,0.0,0.0
838a81fffffffff,9.0,1.0,0.0,0.0
838a85fffffffff,1.0,0.0,0.0,0.0
838a8dfffffffff,2.0,0.0,0.0,0.0
838a91fffffffff,2.0,0.0,0.0,0.0
838a92fffffffff,16.0,0.0,0.0,0.0
838a9cfffffffff,4.0,0.0,0.0,0.0
838aa5fffffffff,1.0,0.0,0.0,0.0
838aa8fffffffff,11.0,0.0,0.0,0.0
838aa9fffffffff,3.0,0.0,0.0,0.0
838aaafffffffff,39.0,0.0,0.0,0.0
838aabfffffffff,1.0,0.0,0.0,0.0
838aacfffffffff,9.0,0.0,0.0,0.0
838aadfffffffff,4.0,0.0,0.0,0.0
838ac5fffffffff,1.0,0.0,0.0,0.0
838adbfffffffff,3.0,0.0,0.0,0.0
838adcfffffffff,3.0,0.0,0.0,0.0
838ae5fffffffff,1.0,0.0,0.0,0.0
838ae6fffffffff,1.0,0.0,0.0,0.0
838af0fffffffff,131.0,23.0,0.0,0.0
838af1fffffffff,31.0,4.0,0.0,0.0
838af2fffffffff,2.0,0.0,0.0,0.0
838af4fffffffff,14.0,6.0,0.0,0.0
838af6fffffffff,7.0,0.0,0.0,0.0
838b0bfffffffff,1.0,0.0,0.0,0.0
838b10fffffffff,1.0,0.0,0.0,0.0
838b1afffffffff,2.0,0.0,0.0,0.0
838b52fffffffff,2.0,0.0,0.0,0.0
838b53fffffffff,7.0,0.0,0.0,0.0
838b56fffffffff,1.0,0.0,0.0,0.0
838b5cfffffffff,4.0,0.0,0.0,0.0
838b76fffffffff,1.0,0.0,0.0,0.0
838b82fffffffff,2.0,0.0,0.0,0.0
838b83fffffffff,4.0,0.0,0.0,0.0
838b84fffffffff,19.0,0.0,0.0,0.0
838b86fffffffff,2.0,0.0,0.0,0.0
838b88fffffffff,1.0,0.0,0.0,0.0
838b8efffffffff,1.0,0.0,0.0,0.0
838b96fffffffff,7.0,0.0,0.0,0.0
838b99fffffffff,1.0,0.0,0.0,0.0
838b9dfffffffff,73.0,0.0,0.0,0.0
838b9efffffffff,1.0,0.0,0.0,0.0
838ba0fffffffff,14.0,0.0,0.0,0.0
838badfffffffff,1.0,0.0,0.0,0.0
83a859fffffffff,1.0,0.0,0.0,0.0
83a8c8fffffffff,1.0,0.0,0.0,0.0
83a8c9fffffffff,7.0,0.0,0.0,0.0
