cell_id,Campylorhynchus turdinus,Campylorhynchus turdinus turdinus/hypostictus,Campylorhynchus turdinus unicolor
82665ffffffffff,1.0,0.0,0.0
8266dffffffffff,7.0,7.0,0.0
8266e7fffffffff,5.0,0.0,0.0
828a47fffffffff,4.0,0.0,0.0
828b0ffffffffff,1.0,0.0,0.0
828b27fffffffff,2.0,0.0,0.0
828b67fffffffff,6.0,6.0,0.0
82a897fffffffff,3.0,3.0,0.0
82a947fffffffff,4.0,0.0,0.0
82a957fffffffff,9.0,0.0,0.0
82a967fffffffff,45.0,0.0,0.0
82b347fffffffff,3.0,0.0,0.0
82b34ffffffffff,13.0,0.0,0.0
82c2cffffffffff,4.0,0.0,0.0
