cell_id,Myiarchus swainsoni,Myiarchus swainsoni phaeonotus,Myiarchus swainsoni [swainsoni Group]
835f08fffffffff,3.0,0.0,0.0
835f09fffffffff,2.0,0.0,0.0
835f0dfffffffff,2.0,0.0,0.0
835f1cfffffffff,2.0,0.0,0.0
835f22fffffffff,13.0,0.0,0.0
835f29fffffffff,10.0,0.0,0.0
835f2bfffffffff,10.0,0.0,0.0
835f2dfffffffff,26.0,0.0,0.0
835f42fffffffff,1.0,0.0,0.0
835f46fffffffff,2.0,0.0,0.0
835f68fffffffff,12.0,0.0,0.0
835f70fffffffff,2.0,0.0,0.0
835f71fffffffff,26.0,0.0,0.0
835f75fffffffff,3.0,0.0,0.0
835f76fffffffff,4.0,0.0,0.0
836641fffffffff,251.0,0.0,0.0
836643fffffffff,1.0,0.0,0.0
836645fffffffff,1.0,0.0,0.0
836648fffffffff,4.0,0.0,0.0
83664efffffffff,2.0,0.0,0.0
83665afffffffff,32.0,0.0,0.0
83665bfffffffff,13.0,0.0,0.0
836663fffffffff,2.0,0.0,0.0
83666afffffffff,1.0,0.0,0.0
83666bfffffffff,2.0,0.0,0.0
83666efffffffff,6.0,0.0,0.0
8366c0fffffffff,11.0,0.0,0.0
8366c1fffffffff,6.0,0.0,0.0
8366c2fffffffff,15.0,0.0,0.0
8366c3fffffffff,2.0,0.0,0.0
8366c5fffffffff,4.0,0.0,0.0
8366cefffffffff,1.0,0.0,0.0
8366e8fffffffff,10.0,0.0,0.0
8366e9fffffffff,2.0,0.0,0.0
8366ecfffffffff,111.0,0.0,0.0
8366eefffffffff,16.0,0.0,0.0
836743fffffffff,1.0,0.0,0.0
836759fffffffff,1.0,0.0,0.0
838004fffffffff,1.0,0.0,0.0
838005fffffffff,3.0,0.0,0.0
83800cfffffffff,5.0,0.0,0.0
838010fffffffff,4.0,0.0,0.0
838014fffffffff,6.0,0.0,0.0
838016fffffffff,4.0,0.0,0.0
838023fffffffff,1.0,0.0,0.0
838026fffffffff,3.0,0.0,0.0
83802cfffffffff,1.0,0.0,0.0
838030fffffffff,13.0,0.0,0.0
838032fffffffff,2.0,0.0,0.0
838035fffffffff,1.0,0.0,0.0
838036fffffffff,4.0,0.0,0.0
838040fffffffff,3.0,0.0,0.0
838048fffffffff,1.0,0.0,0.0
83804cfffffffff,3.0,0.0,0.0
838054fffffffff,4.0,0.0,0.0
83806afffffffff,2.0,0.0,0.0
838073fffffffff,3.0,0.0,0.0
838100fffffffff,2.0,0.0,0.0
838101fffffffff,6.0,0.0,0.0
838102fffffffff,19.0,0.0,0.0
838104fffffffff,6.0,0.0,0.0
838106fffffffff,21.0,0.0,0.0
83810efffffffff,3.0,0.0,0.0
838110fffffffff,4.0,0.0,0.0
838116fffffffff,8.0,0.0,0.0
838119fffffffff,3.0,0.0,0.0
83811afffffffff,1.0,0.0,0.0
83811dfffffffff,1.0,0.0,0.0
838121fffffffff,33.0,0.0,0.0
838123fffffffff,3.0,0.0,0.0
838124fffffffff,83.0,0.0,0.0
83812dfffffffff,4.0,0.0,0.0
838130fffffffff,32.0,0.0,0.0
838133fffffffff,10.0,0.0,0.0
838136fffffffff,1.0,0.0,0.0
838140fffffffff,2.0,0.0,0.0
838144fffffffff,2.0,0.0,0.0
838145fffffffff,7.0,0.0,0.0
838146fffffffff,7.0,0.0,0.0
83814afffffffff,8.0,0.0,0.0
83814dfffffffff,3.0,0.0,0.0
83814efffffffff,2.0,0.0,0.0
838151fffffffff,1.0,0.0,0.0
838153fffffffff,1.0,0.0,0.0
83815afffffffff,3.0,0.0,0.0
83815efffffffff,1.0,0.0,0.0
838162fffffffff,9.0,0.0,0.0
838163fffffffff,2.0,0.0,0.0
838170fffffffff,4.0,0.0,0.0
838171fffffffff,60.0,0.0,0.0
838172fffffffff,6.0,0.0,0.0
838173fffffffff,2.0,0.0,0.0
838175fffffffff,4.0,0.0,0.0
838176fffffffff,2.0,0.0,0.0
838181fffffffff,3.0,0.0,0.0
83818bfffffffff,2.0,0.0,0.0
8381a8fffffffff,4.0,0.0,0.0
8381adfffffffff,13.0,0.0,0.0
838a00fffffffff,4.0,0.0,0.0
838a1afffffffff,2.0,0.0,0.0
838a45fffffffff,13.0,0.0,0.0
838a63fffffffff,3.0,0.0,0.0
838a68fffffffff,2.0,0.0,0.0
838a69fffffffff,8.0,0.0,0.0
838a6dfffffffff,17.0,0.0,0.0
838a8dfffffffff,2.0,0.0,0.0
838a9cfffffffff,6.0,0.0,0.0
838aa8fffffffff,11.0,0.0,0.0
838ad1fffffffff,6.0,0.0,0.0
838adafffffffff,5.0,0.0,0.0
838adbfffffffff,1.0,0.0,0.0
838adcfffffffff,1.0,0.0,0.0
838af0fffffffff,2.0,0.0,0.0
838af1fffffffff,18.0,12.0,0.0
838af2fffffffff,5.0,2.0,0.0
838af6fffffffff,21.0,4.0,0.0
838b00fffffffff,2.0,0.0,0.0
838b06fffffffff,1.0,0.0,0.0
838b08fffffffff,3.0,0.0,0.0
838b0cfffffffff,11.0,0.0,0.0
838b0dfffffffff,12.0,0.0,0.0
838b10fffffffff,2.0,0.0,0.0
838b11fffffffff,2.0,0.0,0.0
838b1efffffffff,1.0,0.0,0.0
838b20fffffffff,12.0,0.0,0.0
838b21fffffffff,2.0,0.0,0.0
838b22fffffffff,53.0,0.0,0.0
838b23fffffffff,10.0,0.0,0.0
838b24fffffffff,2.0,0.0,0.0
838b2afffffffff,14.0,0.0,0.0
838b2cfffffffff,2.0,0.0,0.0
838b2efffffffff,2.0,0.0,0.0
838b31fffffffff,43.0,0.0,0.0
838b34fffffffff,7.0,0.0,0.0
838b36fffffffff,7.0,0.0,0.0
838b40fffffffff,5.0,0.0,0.0
838b42fffffffff,3.0,0.0,0.0
838b44fffffffff,73.0,0.0,0.0
838b45fffffffff,4.0,0.0,0.0
838b46fffffffff,3.0,0.0,0.0
838b52fffffffff,1.0,0.0,0.0
838b53fffffffff,1.0,0.0,0.0
838b56fffffffff,9.0,0.0,0.0
838b5dfffffffff,3.0,0.0,0.0
838b61fffffffff,12.0,0.0,0.0
838b62fffffffff,13.0,0.0,0.0
838b63fffffffff,52.0,0.0,0.0
838b69fffffffff,7.0,0.0,0.0
838b6efffffffff,24.0,0.0,0.0
838b71fffffffff,64.0,0.0,0.0
838b75fffffffff,5.0,0.0,0.0
838b76fffffffff,1.0,0.0,0.0
838b84fffffffff,3.0,0.0,0.0
838b99fffffffff,3.0,0.0,0.0
838b9dfffffffff,37.0,0.0,0.0
838ba0fffffffff,6.0,0.0,0.0
838ba3fffffffff,1.0,0.0,0.0
838ba4fffffffff,3.0,0.0,0.0
838ba6fffffffff,12.0,0.0,0.0
838bb5fffffffff,78.0,0.0,0.0
838f40fffffffff,10.0,0.0,0.0
838f44fffffffff,1.0,0.0,0.0
838f46fffffffff,2.0,0.0,0.0
838f48fffffffff,19.0,0.0,0.0
838f4afffffffff,10.0,0.0,0.0
838f4bfffffffff,1.0,0.0,0.0
838f71fffffffff,5.0,0.0,0.0
83a596fffffffff,2.0,0.0,0.0
83a800fffffffff,6.0,0.0,0.0
83a801fffffffff,56.0,0.0,0.0
83a802fffffffff,18.0,0.0,0.0
83a803fffffffff,2.0,0.0,0.0
83a804fffffffff,44.0,0.0,0.0
83a805fffffffff,17.0,0.0,0.0
83a806fffffffff,484.0,0.0,76.0
83a808fffffffff,2.0,0.0,0.0
83a809fffffffff,2.0,0.0,0.0
83a80bfffffffff,2.0,0.0,0.0
83a80cfffffffff,11.0,0.0,0.0
83a80efffffffff,2.0,0.0,0.0
83a810fffffffff,878.0,0.0,6.0
83a811fffffffff,46.0,0.0,3.0
83a812fffffffff,427.0,0.0,24.0
83a813fffffffff,224.0,0.0,7.0
83a814fffffffff,12.0,0.0,0.0
83a815fffffffff,186.0,0.0,1.0
83a816fffffffff,8.0,0.0,0.0
83a818fffffffff,12.0,0.0,0.0
83a819fffffffff,49.0,0.0,0.0
83a81afffffffff,15.0,0.0,0.0
83a81bfffffffff,29.0,0.0,0.0
83a81cfffffffff,135.0,0.0,0.0
83a81dfffffffff,20.0,0.0,0.0
83a81efffffffff,411.0,0.0,0.0
83a820fffffffff,11.0,0.0,0.0
83a821fffffffff,22.0,0.0,0.0
83a822fffffffff,22.0,0.0,0.0
83a823fffffffff,20.0,0.0,0.0
83a824fffffffff,66.0,0.0,0.0
83a825fffffffff,14.0,0.0,0.0
83a826fffffffff,38.0,0.0,0.0
83a828fffffffff,4.0,0.0,0.0
83a829fffffffff,3.0,0.0,0.0
83a82afffffffff,7.0,0.0,0.0
83a82efffffffff,24.0,0.0,0.0
83a831fffffffff,79.0,0.0,0.0
83a833fffffffff,9.0,0.0,0.0
83a835fffffffff,114.0,0.0,0.0
83a840fffffffff,7.0,0.0,0.0
83a841fffffffff,6.0,0.0,0.0
83a842fffffffff,1.0,0.0,0.0
83a844fffffffff,6.0,0.0,0.0
83a845fffffffff,2.0,0.0,0.0
83a846fffffffff,15.0,0.0,0.0
83a84afffffffff,1.0,0.0,0.0
83a854fffffffff,2.0,0.0,0.0
83a855fffffffff,4.0,0.0,0.0
83a859fffffffff,142.0,0.0,0.0
83a85afffffffff,7.0,0.0,0.0
83a85bfffffffff,11.0,0.0,0.0
83a85cfffffffff,1.0,0.0,0.0
83a85dfffffffff,18.0,0.0,0.0
83a860fffffffff,16.0,0.0,0.0
83a862fffffffff,3.0,0.0,0.0
83a863fffffffff,2.0,0.0,0.0
83a865fffffffff,3.0,0.0,0.0
83a866fffffffff,2.0,0.0,0.0
83a869fffffffff,1.0,0.0,0.0
83a86efffffffff,2.0,0.0,0.0
83a870fffffffff,1.0,0.0,0.0
83a873fffffffff,3.0,0.0,0.0
83a876fffffffff,1.0,0.0,0.0
83a880fffffffff,25.0,0.0,0.0
83a881fffffffff,139.0,0.0,0.0
83a882fffffffff,21.0,0.0,0.0
83a883fffffffff,2.0,0.0,0.0
83a884fffffffff,119.0,0.0,0.0
83a885fffffffff,9.0,0.0,0.0
83a886fffffffff,7.0,0.0,0.0
83a889fffffffff,1.0,0.0,0.0
83a88afffffffff,4.0,0.0,0.0
83a88bfffffffff,19.0,0.0,0.0
83a88cfffffffff,11.0,0.0,0.0
83a88dfffffffff,32.0,0.0,0.0
83a88efffffffff,33.0,0.0,0.0
83a891fffffffff,8.0,0.0,0.0
83a89dfffffffff,2.0,0.0,0.0
83a89efffffffff,4.0,0.0,0.0
83a8a0fffffffff,7.0,0.0,0.0
83a8a1fffffffff,309.0,0.0,2.0
83a8a2fffffffff,89.0,0.0,0.0
83a8a3fffffffff,61.0,0.0,0.0
83a8a5fffffffff,4.0,0.0,0.0
83a8a8fffffffff,15.0,0.0,0.0
83a8a9fffffffff,97.0,0.0,0.0
83a8aafffffffff,69.0,0.0,0.0
83a8acfffffffff,92.0,0.0,6.0
83a8adfffffffff,5.0,0.0,0.0
83a8aefffffffff,34.0,0.0,0.0
83a8c0fffffffff,34.0,0.0,0.0
83a8c1fffffffff,1.0,0.0,0.0
83a8c2fffffffff,24.0,0.0,0.0
