cell_id,Edolisoma grayi,Edolisoma grayi pererratum,Edolisoma grayi grayi
8473901ffffffff,10.0,0.0,4.0
8473905ffffffff,28.0,0.0,6.0
8473907ffffffff,37.0,0.0,11.0
847390bffffffff,65.0,0.0,18.0
847390dffffffff,16.0,0.0,5.0
8473925ffffffff,5.0,0.0,1.0
8473951ffffffff,5.0,0.0,2.0
8473955ffffffff,1.0,0.0,0.0
8473957ffffffff,1.0,0.0,0.0
8473959ffffffff,1.0,0.0,0.0
847395bffffffff,6.0,0.0,4.0
8495725ffffffff,3.0,0.0,0.0
