cell_id,Actinodura waldeni,Actinodura waldeni daflaensis,Actinodura waldeni [waldeni Group]
843c437ffffffff,27.0,0.0,0.0
843c511ffffffff,1.0,0.0,0.0
843c521ffffffff,32.0,0.0,0.0
843c527ffffffff,377.0,0.0,0.0
843c533ffffffff,1.0,0.0,0.0
843c581ffffffff,383.0,0.0,0.0
843c589ffffffff,2.0,0.0,0.0
843c5b1ffffffff,1.0,0.0,0.0
843c5c1ffffffff,1.0,0.0,0.0
843c5c3ffffffff,1.0,0.0,0.0
843c5cbffffffff,47.0,0.0,0.0
843c5cdffffffff,2.0,0.0,0.0
843c5ddffffffff,4.0,0.0,0.0
843cd8bffffffff,63.0,0.0,0.0
843cdd5ffffffff,13.0,0.0,0.0
843ce83ffffffff,2.0,0.0,0.0
843ce85ffffffff,6.0,0.0,0.0
843ce87ffffffff,1.0,0.0,0.0
843ce95ffffffff,28.0,0.0,0.0
843cebdffffffff,17.0,0.0,0.0
84404c5ffffffff,5.0,0.0,0.0
84404c7ffffffff,6.0,0.0,0.0
84404e1ffffffff,3.0,0.0,0.0
84404e9ffffffff,1.0,0.0,0.0
8440591ffffffff,22.0,0.0,0.0
84406b7ffffffff,1.0,0.0,0.0
