cell_id,Toxostoma curvirostre,Toxostoma curvirostre [curvirostre Group],Toxostoma curvirostre [palmeri Group]
8426881ffffffff,1193.0,11.0,0.0
8426883ffffffff,3.0,0.0,0.0
8426885ffffffff,31.0,0.0,0.0
8426887ffffffff,8.0,0.0,0.0
8426889ffffffff,730.0,0.0,0.0
842688bffffffff,136.0,0.0,0.0
842688dffffffff,473.0,19.0,0.0
8426891ffffffff,201.0,0.0,0.0
8426893ffffffff,98.0,8.0,0.0
8426895ffffffff,1.0,0.0,0.0
8426897ffffffff,7.0,0.0,0.0
8426899ffffffff,56.0,4.0,0.0
842689dffffffff,20.0,2.0,0.0
84268b1ffffffff,2.0,0.0,0.0
84268b3ffffffff,4.0,0.0,0.0
84268b9ffffffff,4.0,2.0,0.0
84268bbffffffff,1.0,0.0,0.0
84268d3ffffffff,11.0,0.0,0.0
84268d7ffffffff,19.0,4.0,0.0
84268dbffffffff,1.0,0.0,0.0
84268e3ffffffff,5.0,0.0,0.0
8426997ffffffff,2.0,0.0,0.0
8426c35ffffffff,3.0,0.0,0.0
8426d01ffffffff,5.0,0.0,0.0
8426d03ffffffff,3.0,0.0,0.0
8426d05ffffffff,5.0,0.0,0.0
8426d07ffffffff,2.0,0.0,0.0
8426d09ffffffff,4.0,0.0,0.0
8426d0bffffffff,4.0,0.0,0.0
8426d11ffffffff,2.0,0.0,0.0
8426d15ffffffff,206.0,0.0,0.0
8426d1bffffffff,3.0,0.0,0.0
8426d1dffffffff,10.0,0.0,0.0
8426d21ffffffff,26.0,0.0,0.0
8426d23ffffffff,16.0,0.0,0.0
8426d25ffffffff,19.0,0.0,0.0
8426d29ffffffff,4.0,0.0,0.0
8426d2bffffffff,40.0,0.0,0.0
8426d2dffffffff,48.0,0.0,0.0
8426d31ffffffff,9.0,0.0,0.0
8426d33ffffffff,8.0,0.0,0.0
8426d35ffffffff,45.0,3.0,0.0
8426d37ffffffff,20.0,0.0,0.0
8426d39ffffffff,37.0,0.0,0.0
8426d3bffffffff,4.0,0.0,0.0
8426d41ffffffff,12.0,0.0,0.0
8426d43ffffffff,9.0,0.0,0.0
8426d45ffffffff,280.0,17.0,0.0
8426d47ffffffff,28.0,0.0,0.0
8426d49ffffffff,11.0,0.0,0.0
8426d4bffffffff,24.0,0.0,0.0
8426d4dffffffff,15.0,5.0,0.0
8426d57ffffffff,5.0,0.0,0.0
8426d59ffffffff,2.0,0.0,0.0
8426d5bffffffff,2.0,0.0,0.0
8426d63ffffffff,8.0,0.0,0.0
8426d65ffffffff,2.0,0.0,0.0
8426d67ffffffff,11.0,0.0,0.0
8426d69ffffffff,5.0,0.0,0.0
8426d6bffffffff,35.0,0.0,0.0
8426d6dffffffff,2.0,0.0,0.0
8426d81ffffffff,8.0,0.0,0.0
8426d83ffffffff,4.0,0.0,0.0
8426d85ffffffff,12.0,0.0,0.0
8426d87ffffffff,8.0,0.0,0.0
8426d89ffffffff,7.0,0.0,0.0
8426d8dffffffff,5.0,0.0,0.0
8426d91ffffffff,10.0,0.0,0.0
8426d95ffffffff,191.0,0.0,0.0
8426d97ffffffff,15.0,0.0,0.0
8426d99ffffffff,10.0,0.0,0.0
8426d9dffffffff,21.0,0.0,0.0
8426da1ffffffff,13.0,0.0,0.0
8426da3ffffffff,42.0,0.0,0.0
8426da5ffffffff,7.0,0.0,0.0
8426da7ffffffff,17.0,0.0,0.0
8426da9ffffffff,23.0,0.0,0.0
8426dabffffffff,17.0,0.0,0.0
8426dadffffffff,44.0,3.0,0.0
8426db1ffffffff,33.0,0.0,0.0
8426db3ffffffff,18.0,0.0,0.0
8426db5ffffffff,3.0,0.0,0.0
8426db7ffffffff,15.0,0.0,0.0
8426db9ffffffff,23.0,0.0,0.0
8426dbbffffffff,21.0,0.0,0.0
8426dbdffffffff,131.0,0.0,0.0
8426dc1ffffffff,2.0,0.0,0.0
8426dc3ffffffff,6.0,0.0,0.0
8426dc5ffffffff,2.0,0.0,0.0
8426dc7ffffffff,7.0,0.0,0.0
8426dc9ffffffff,2.0,0.0,0.0
8426dcbffffffff,1.0,0.0,0.0
8426dd1ffffffff,7.0,0.0,0.0
8426dd7ffffffff,18.0,0.0,0.0
8426dd9ffffffff,1.0,0.0,0.0
8426de1ffffffff,12.0,0.0,0.0
8426de3ffffffff,32.0,0.0,0.0
8426de5ffffffff,16.0,0.0,0.0
8426de7ffffffff,333.0,12.0,0.0
8426de9ffffffff,9.0,0.0,0.0
8426debffffffff,1.0,0.0,0.0
8426dedffffffff,7.0,0.0,0.0
8426f21ffffffff,2.0,0.0,0.0
8426f23ffffffff,9.0,0.0,0.0
8426f25ffffffff,72.0,1.0,0.0
8426f27ffffffff,10.0,0.0,0.0
8426f2bffffffff,6.0,0.0,0.0
8426f2dffffffff,30.0,0.0,0.0
8426f33ffffffff,2.0,0.0,0.0
8426f35ffffffff,37.0,0.0,0.0
8426f3dffffffff,1.0,0.0,0.0
8429b01ffffffff,34.0,0.0,2.0
8429b03ffffffff,11.0,0.0,0.0
8429b05ffffffff,16.0,0.0,6.0
8429b07ffffffff,1.0,0.0,0.0
8429b09ffffffff,8.0,0.0,4.0
8429b0bffffffff,7.0,0.0,0.0
8429b0dffffffff,30.0,0.0,3.0
8429b13ffffffff,2.0,0.0,0.0
8429b15ffffffff,1075.0,0.0,302.0
8429b29ffffffff,17.0,0.0,0.0
8429b2dffffffff,119.0,0.0,4.0
8429b39ffffffff,195.0,0.0,4.0
8429b3bffffffff,29.0,0.0,0.0
8429b43ffffffff,2.0,0.0,0.0
8429b45ffffffff,2.0,0.0,1.0
8429b47ffffffff,10.0,0.0,3.0
8429b4dffffffff,1.0,0.0,1.0
8429b61ffffffff,280.0,0.0,116.0
8429b63ffffffff,105.0,0.0,18.0
8429b65ffffffff,664.0,0.0,95.0
8429b67ffffffff,194.0,0.0,12.0
8429b69ffffffff,517.0,0.0,67.0
8429b6bffffffff,640.0,0.0,147.0
8429b6dffffffff,4426.0,0.0,547.0
8448017ffffffff,92.0,0.0,0.0
8448021ffffffff,8.0,0.0,0.0
8448029ffffffff,5.0,0.0,0.0
844802bffffffff,92.0,0.0,0.0
8448039ffffffff,4.0,0.0,0.0
