cell_id,Parus major,Parus major [major Group],Parus major [bokharensis Group]
820127fffffffff,26.0,0.0,0.0
820137fffffffff,116.0,14.0,0.0
820807fffffffff,59.0,0.0,0.0
820817fffffffff,310.0,27.0,0.0
82081ffffffffff,43.0,1.0,0.0
82082ffffffffff,15.0,2.0,0.0
820837fffffffff,59.0,4.0,0.0
820887fffffffff,1893.0,669.0,0.0
82088ffffffffff,298.0,103.0,0.0
820897fffffffff,246.0,115.0,0.0
82089ffffffffff,3199.0,498.0,0.0
8208a7fffffffff,370.0,92.0,0.0
8208affffffffff,19.0,3.0,0.0
8208b7fffffffff,539.0,51.0,0.0
8208c7fffffffff,105.0,15.0,0.0
8208cffffffffff,355.0,37.0,0.0
8208d7fffffffff,315.0,23.0,0.0
8208dffffffffff,268.0,15.0,0.0
8208e7fffffffff,15.0,0.0,0.0
8208effffffffff,170.0,15.0,0.0
8208f7fffffffff,68.0,6.0,0.0
82094ffffffffff,28.0,1.0,0.0
82095ffffffffff,76.0,2.0,0.0
820987fffffffff,337.0,12.0,0.0
82098ffffffffff,176.0,7.0,0.0
820997fffffffff,521.0,10.0,0.0
82099ffffffffff,923.0,109.0,0.0
8209a7fffffffff,4.0,0.0,0.0
8209affffffffff,31.0,0.0,0.0
820a37fffffffff,7.0,0.0,0.0
820a97fffffffff,3.0,0.0,0.0
820b97fffffffff,2.0,0.0,0.0
820b9ffffffffff,7.0,0.0,0.0
820bb7fffffffff,37.0,1.0,0.0
821017fffffffff,19.0,0.0,0.0
821027fffffffff,2.0,0.0,0.0
821087fffffffff,1.0,1.0,0.0
82108ffffffffff,3.0,0.0,0.0
82109ffffffffff,3.0,0.0,0.0
8210a7fffffffff,5.0,0.0,0.0
8210affffffffff,5.0,5.0,0.0
8210b7fffffffff,6.0,0.0,0.0
8210c7fffffffff,291.0,0.0,0.0
8210d7fffffffff,4.0,0.0,0.0
8210dffffffffff,39.0,0.0,0.0
8210f7fffffffff,43.0,17.0,0.0
821107fffffffff,1135.0,33.0,0.0
82110ffffffffff,7.0,0.0,0.0
821117fffffffff,55.0,0.0,0.0
821127fffffffff,333.0,66.0,0.0
82112ffffffffff,108.0,27.0,0.0
821137fffffffff,338.0,6.0,0.0
821147fffffffff,2.0,0.0,0.0
821157fffffffff,5.0,0.0,0.0
821167fffffffff,4.0,0.0,0.0
821187fffffffff,387.0,39.0,0.0
82118ffffffffff,588.0,68.0,0.0
821197fffffffff,7.0,0.0,0.0
82119ffffffffff,41.0,12.0,0.0
8211a7fffffffff,37.0,0.0,0.0
8211affffffffff,2450.0,266.0,0.0
8211b7fffffffff,39.0,0.0,0.0
8214affffffffff,102.0,0.0,0.0
8215b7fffffffff,2.0,0.0,0.0
821717fffffffff,1.0,1.0,0.0
821807fffffffff,166.0,29.0,0.0
82180ffffffffff,44.0,2.0,0.0
821827fffffffff,169.0,38.0,0.0
82182ffffffffff,2077.0,150.0,0.0
821847fffffffff,395.0,125.0,0.0
82184ffffffffff,9907.0,73.0,0.0
82185ffffffffff,1215.0,0.0,0.0
821867fffffffff,466.0,103.0,0.0
82186ffffffffff,750.0,156.0,0.0
821877fffffffff,965.0,155.0,0.0
82190ffffffffff,1822.0,196.0,0.0
82192ffffffffff,254.0,104.0,0.0
821947fffffffff,13624.0,3033.0,0.0
82194ffffffffff,16768.0,2118.0,0.0
821957fffffffff,3174.0,695.0,0.0
82195ffffffffff,11854.0,1231.0,0.0
82196ffffffffff,5573.0,300.0,0.0
821977fffffffff,2068.0,180.0,0.0
821e07fffffffff,7251.0,445.0,0.0
821e0ffffffffff,2010.0,65.0,0.0
821e17fffffffff,2781.0,87.0,0.0
821e1ffffffffff,2613.0,75.0,0.0
821e27fffffffff,2148.0,56.0,0.0
821e2ffffffffff,1264.0,11.0,0.0
821e37fffffffff,10339.0,143.0,0.0
821e47fffffffff,235.0,0.0,0.0
821e4ffffffffff,63.0,0.0,0.0
821e57fffffffff,461.0,0.0,0.0
821e5ffffffffff,521.0,9.0,0.0
821e67fffffffff,500.0,3.0,0.0
821e6ffffffffff,565.0,0.0,0.0
821e77fffffffff,162.0,0.0,0.0
821e87fffffffff,595.0,42.0,0.0
821e8ffffffffff,36.0,0.0,0.0
821e97fffffffff,53.0,5.0,0.0
821e9ffffffffff,100.0,7.0,0.0
821ea7fffffffff,940.0,52.0,0.0
821eaffffffffff,586.0,47.0,0.0
821eb7fffffffff,746.0,236.0,0.0
821ec7fffffffff,3465.0,268.0,0.0
821ecffffffffff,4638.0,221.0,0.0
821ed7fffffffff,818.0,68.0,0.0
821edffffffffff,2222.0,102.0,0.0
821ee7fffffffff,742.0,9.0,0.0
821eeffffffffff,802.0,177.0,0.0
821ef7fffffffff,900.0,102.0,0.0
821f07fffffffff,2238.0,431.0,0.0
821f0ffffffffff,506.0,12.0,0.0
821f17fffffffff,2726.0,92.0,0.0
821f1ffffffffff,4460.0,184.0,0.0
821f27fffffffff,828.0,146.0,0.0
821f2ffffffffff,2045.0,702.0,0.0
821f37fffffffff,647.0,198.0,0.0
821f47fffffffff,268.0,2.0,0.0
821f4ffffffffff,961.0,0.0,0.0
821f57fffffffff,883.0,24.0,0.0
821f5ffffffffff,687.0,45.0,0.0
821f67fffffffff,439.0,6.0,0.0
821f6ffffffffff,66.0,0.0,0.0
821f77fffffffff,1723.0,31.0,0.0
821f87fffffffff,6325.0,961.0,0.0
821f8ffffffffff,5085.0,1287.0,0.0
821f97fffffffff,999.0,265.0,0.0
821f9ffffffffff,1982.0,142.0,0.0
821fa7fffffffff,3622.0,189.0,0.0
821faffffffffff,6515.0,68.0,0.0
821fb7fffffffff,1802.0,288.0,0.0
82200ffffffffff,108.0,12.0,89.0
822017fffffffff,35.0,0.0,16.0
82201ffffffffff,136.0,37.0,4.0
82202ffffffffff,1.0,0.0,0.0
822047fffffffff,3.0,0.0,0.0
82204ffffffffff,80.0,21.0,11.0
82205ffffffffff,45.0,7.0,27.0
82206ffffffffff,24.0,10.0,0.0
822087fffffffff,12.0,0.0,11.0
8220a7fffffffff,95.0,0.0,89.0
8220affffffffff,47.0,8.0,7.0
8220b7fffffffff,17.0,0.0,11.0
8220e7fffffffff,339.0,103.0,29.0
8220effffffffff,15.0,0.0,4.0
8220f7fffffffff,23.0,16.0,2.0
822127fffffffff,11.0,0.0,0.0
82212ffffffffff,1.0,0.0,0.0
822147fffffffff,2.0,0.0,0.0
822157fffffffff,20.0,10.0,0.0
822187fffffffff,1.0,0.0,1.0
