cell_id,Conirostrum albifrons,Conirostrum albifrons [albifrons Group],Conirostrum albifrons [atrocyaneum Group]
836608fffffffff,76.0,0.0,0.0
83660bfffffffff,97.0,0.0,0.0
83660cfffffffff,20.0,0.0,0.0
83660dfffffffff,21.0,0.0,0.0
836618fffffffff,155.0,0.0,2.0
836619fffffffff,316.0,0.0,0.0
83661bfffffffff,235.0,0.0,11.0
83661dfffffffff,45.0,0.0,0.0
836656fffffffff,2.0,0.0,0.0
8366c0fffffffff,5.0,0.0,0.0
8366c2fffffffff,11.0,0.0,0.0
8366c4fffffffff,19.0,0.0,0.0
8366c6fffffffff,45.0,0.0,0.0
8366d0fffffffff,20.0,0.0,0.0
8366d1fffffffff,10.0,0.0,2.0
8366d3fffffffff,1314.0,0.0,55.0
8366d5fffffffff,20.0,0.0,3.0
8366dafffffffff,3.0,0.0,0.0
8366defffffffff,1288.0,0.0,119.0
8366e0fffffffff,223.0,0.0,0.0
8366e2fffffffff,8.0,0.0,0.0
8366e4fffffffff,89.0,0.0,0.0
8366e5fffffffff,56.0,0.0,0.0
8366e6fffffffff,2796.0,0.0,0.0
8366f1fffffffff,99.0,0.0,0.0
8366f3fffffffff,4.0,0.0,0.0
8366f5fffffffff,157.0,0.0,0.0
836741fffffffff,7.0,0.0,0.0
83674efffffffff,58.0,0.0,0.0
838b20fffffffff,12.0,0.0,0.0
838b21fffffffff,13.0,0.0,0.0
838b2cfffffffff,28.0,0.0,0.0
838b2dfffffffff,5.0,0.0,0.0
838b61fffffffff,622.0,0.0,8.0
838b6cfffffffff,592.0,0.0,0.0
838b75fffffffff,13.0,0.0,0.0
838e61fffffffff,4.0,0.0,0.0
838e64fffffffff,78.0,0.0,0.0
838e65fffffffff,41.0,0.0,0.0
838e6cfffffffff,12.0,0.0,0.0
838f29fffffffff,1.0,0.0,0.0
838f2dfffffffff,9.0,0.0,0.0
838f42fffffffff,94.0,0.0,4.0
838f46fffffffff,58.0,0.0,0.0
838f4afffffffff,44.0,0.0,0.0
838f54fffffffff,33.0,0.0,0.0
838f55fffffffff,68.0,0.0,6.0
838f59fffffffff,18.0,0.0,0.0
838f5cfffffffff,2.0,0.0,0.0
838f5dfffffffff,1.0,0.0,0.0
838f72fffffffff,177.0,0.0,0.0
838f73fffffffff,108.0,0.0,1.0
838f74fffffffff,1.0,0.0,0.0
838f76fffffffff,12.0,0.0,0.0
83b325fffffffff,7.0,0.0,0.0
