cell_id,Kleinothraupis atropileus,Kleinothraupis atropileus atropileus,Kleinothraupis atropileus auricularis
8466089ffffffff,23.0,0.0,0.0
8466091ffffffff,2.0,0.0,0.0
84660b5ffffffff,1.0,0.0,0.0
84660b9ffffffff,2.0,0.0,0.0
84660bbffffffff,7.0,0.0,0.0
84660bdffffffff,8.0,0.0,0.0
84660c3ffffffff,12.0,2.0,0.0
84660cbffffffff,7.0,0.0,0.0
84660ddffffffff,8.0,1.0,0.0
8466181ffffffff,206.0,3.0,0.0
8466183ffffffff,9.0,0.0,0.0
8466185ffffffff,1.0,0.0,0.0
8466187ffffffff,99.0,2.0,0.0
846618bffffffff,16.0,0.0,0.0
8466193ffffffff,3.0,0.0,0.0
8466197ffffffff,128.0,0.0,0.0
846619dffffffff,63.0,0.0,0.0
84661b1ffffffff,150.0,19.0,0.0
84661b3ffffffff,9.0,0.0,0.0
84661b9ffffffff,13.0,0.0,0.0
84661bbffffffff,729.0,20.0,0.0
84661c3ffffffff,1.0,1.0,0.0
84661d1ffffffff,8.0,0.0,0.0
84662b7ffffffff,1.0,0.0,0.0
8466c0dffffffff,3.0,0.0,0.0
8466c25ffffffff,7.0,0.0,0.0
8466c2dffffffff,6.0,0.0,0.0
8466c47ffffffff,3.0,0.0,0.0
8466c4bffffffff,2.0,0.0,0.0
8466c61ffffffff,52.0,0.0,0.0
8466c63ffffffff,6.0,0.0,0.0
8466c67ffffffff,4.0,0.0,0.0
8466c69ffffffff,72.0,0.0,0.0
8466c6bffffffff,9.0,0.0,0.0
8466d03ffffffff,1.0,0.0,0.0
8466d11ffffffff,5.0,1.0,0.0
8466d1dffffffff,2.0,0.0,0.0
8466d31ffffffff,7.0,0.0,0.0
8466d33ffffffff,9.0,0.0,0.0
8466d37ffffffff,13.0,0.0,0.0
8466d39ffffffff,9.0,0.0,0.0
8466d3bffffffff,3.0,0.0,0.0
8466d3dffffffff,2.0,0.0,0.0
8466d53ffffffff,5.0,2.0,0.0
8466de1ffffffff,263.0,58.0,0.0
8466de5ffffffff,2.0,0.0,0.0
8466dedffffffff,650.0,115.0,0.0
8466e09ffffffff,33.0,0.0,0.0
8466e0bffffffff,90.0,0.0,0.0
8466e25ffffffff,2.0,0.0,0.0
8466e2dffffffff,5.0,0.0,0.0
8466e43ffffffff,146.0,8.0,0.0
8466e47ffffffff,126.0,0.0,0.0
8466e55ffffffff,37.0,2.0,0.0
8466e5dffffffff,1.0,0.0,0.0
8466e61ffffffff,74.0,0.0,0.0
8466e65ffffffff,197.0,0.0,0.0
8466e67ffffffff,112.0,0.0,0.0
8466e69ffffffff,12.0,0.0,0.0
8466e6dffffffff,2058.0,79.0,0.0
8466f13ffffffff,1.0,0.0,0.0
8466f15ffffffff,3.0,0.0,0.0
8466f19ffffffff,52.0,0.0,0.0
8466f1dffffffff,25.0,0.0,0.0
8466f3bffffffff,1.0,0.0,0.0
8466f53ffffffff,33.0,0.0,0.0
8466f57ffffffff,2.0,0.0,0.0
8466f5bffffffff,28.0,0.0,0.0
8466f5dffffffff,3.0,0.0,0.0
848b611ffffffff,4.0,0.0,0.0
848b615ffffffff,1.0,0.0,0.0
848b617ffffffff,302.0,0.0,33.0
848b61bffffffff,2.0,0.0,0.0
848b6c1ffffffff,1.0,0.0,0.0
848b6c5ffffffff,10.0,0.0,0.0
848b6c9ffffffff,11.0,0.0,0.0
848b6cdffffffff,148.0,0.0,17.0
848e649ffffffff,5.0,0.0,0.0
848e64bffffffff,1.0,0.0,0.0
848e651ffffffff,47.0,0.0,0.0
848e655ffffffff,12.0,0.0,0.0
848e657ffffffff,11.0,0.0,0.0
848e6c1ffffffff,7.0,0.0,0.0
848e6cbffffffff,1.0,0.0,0.0
848e6d9ffffffff,4.0,0.0,0.0
848e6ddffffffff,1.0,0.0,0.0
848f0d3ffffffff,2.0,0.0,0.0
848f291ffffffff,2.0,0.0,0.0
848f293ffffffff,2.0,0.0,0.0
848f29bffffffff,1.0,0.0,0.0
848f2d3ffffffff,2.0,0.0,0.0
848f2d9ffffffff,1.0,0.0,0.0
848f425ffffffff,6.0,0.0,0.0
848f427ffffffff,2.0,0.0,0.0
848f42dffffffff,8.0,0.0,0.0
848f467ffffffff,2.0,0.0,0.0
848f4a5ffffffff,131.0,0.0,20.0
848f4a7ffffffff,10.0,0.0,0.0
848f541ffffffff,4.0,0.0,0.0
848f54bffffffff,2.0,0.0,0.0
848f54dffffffff,15.0,0.0,0.0
848f551ffffffff,2.0,0.0,1.0
848f553ffffffff,29.0,0.0,2.0
848f555ffffffff,2.0,0.0,0.0
848f559ffffffff,51.0,0.0,9.0
848f55bffffffff,20.0,0.0,0.0
848f599ffffffff,2.0,0.0,0.0
848f5c1ffffffff,2.0,0.0,0.0
848f5c3ffffffff,2.0,0.0,0.0
848f5cbffffffff,1.0,0.0,0.0
848f5ddffffffff,6.0,0.0,0.0
848f705ffffffff,2.0,0.0,0.0
848f721ffffffff,247.0,49.0,0.0
848f725ffffffff,1.0,1.0,0.0
848f727ffffffff,8.0,0.0,0.0
848f729ffffffff,2.0,2.0,0.0
848f72dffffffff,35.0,8.0,0.0
848f733ffffffff,58.0,0.0,2.0
848f745ffffffff,3.0,2.0,0.0
848f767ffffffff,16.0,5.0,0.0
848f769ffffffff,1.0,0.0,0.0
