cell_id,Microspingus torquatus,Microspingus torquatus torquatus,Microspingus torquatus pectoralis
828b27fffffffff,534.0,30.0,5.0
828b2ffffffffff,191.0,8.0,0.0
82a86ffffffffff,2.0,0.0,0.0
82a94ffffffffff,17.0,0.0,0.0
82a96ffffffffff,2.0,0.0,0.0
82b20ffffffffff,18.0,0.0,0.0
82b22ffffffffff,5.0,0.0,0.0
82b247fffffffff,382.0,0.0,0.0
82b24ffffffffff,140.0,0.0,0.0
82b257fffffffff,56.0,0.0,0.0
82b25ffffffffff,475.0,0.0,0.0
82b267fffffffff,258.0,0.0,0.0
82b26ffffffffff,22.0,0.0,0.0
82b277fffffffff,94.0,0.0,0.0
82b2cffffffffff,3.0,0.0,0.0
82b2e7fffffffff,2.0,0.0,0.0
82b2effffffffff,424.0,0.0,0.0
82b32ffffffffff,52.0,1.0,0.0
82b347fffffffff,23.0,0.0,0.0
82b34ffffffffff,72.0,0.0,0.0
82b35ffffffffff,426.0,0.0,0.0
82b367fffffffff,30.0,0.0,0.0
82b36ffffffffff,75.0,0.0,0.0
82c2cffffffffff,1.0,0.0,0.0
82c30ffffffffff,7.0,0.0,0.0
82c32ffffffffff,58.0,0.0,6.0
82c347fffffffff,93.0,0.0,0.0
82c34ffffffffff,6.0,0.0,0.0
82c357fffffffff,57.0,0.0,3.0
82c367fffffffff,31.0,0.0,0.0
82c36ffffffffff,47.0,0.0,0.0
82c377fffffffff,67.0,0.0,3.0
