cell_id,Electron platyrhynchum,Electron platyrhynchum [platyrhynchum Group],Electron platyrhynchum [pyrrholaemum Group]
834522fffffffff,43.0,0.0,0.0
836610fffffffff,2.0,0.0,0.0
83661bfffffffff,7.0,0.0,0.0
8366b4fffffffff,6.0,0.0,0.0
8366c0fffffffff,32.0,0.0,0.0
8366c2fffffffff,7.0,0.0,0.0
8366d0fffffffff,21.0,6.0,0.0
8366d1fffffffff,1.0,0.0,0.0
8366d3fffffffff,4.0,3.0,0.0
8366defffffffff,2.0,0.0,0.0
8366f0fffffffff,2.0,0.0,0.0
83679afffffffff,10.0,0.0,0.0
836d65fffffffff,17.0,0.0,0.0
836d69fffffffff,30.0,13.0,0.0
838b61fffffffff,1.0,0.0,1.0
838b74fffffffff,1.0,0.0,0.0
838f6bfffffffff,4.0,4.0,0.0
838f72fffffffff,6.0,0.0,0.0
