cell_id,Fulica alai,Fulica alai (Red-shielded),Fulica alai (White-shielded)
834648fffffffff,1847.0,61.0,106.0
834649fffffffff,688.0,27.0,67.0
83464bfffffffff,20.0,0.0,0.0
83464efffffffff,2088.0,75.0,435.0
835d10fffffffff,2100.0,125.0,303.0
835d11fffffffff,484.0,1.0,75.0
835d13fffffffff,3.0,0.0,0.0
835d14fffffffff,326.0,2.0,43.0
835d16fffffffff,829.0,23.0,101.0
