cell_id,Ficedula superciliaris,Ficedula superciliaris superciliaris,Ficedula superciliaris aestigma
84209a5ffffffff,5.0,0.0,0.0
84209a7ffffffff,4.0,0.0,0.0
84209a9ffffffff,1.0,0.0,0.0
84209abffffffff,3.0,0.0,0.0
84209b5ffffffff,2.0,0.0,0.0
84209b7ffffffff,1.0,0.0,0.0
843c00dffffffff,2.0,0.0,0.0
843c029ffffffff,29.0,0.0,0.0
843c02dffffffff,57.0,0.0,0.0
843c063ffffffff,14.0,0.0,0.0
843c067ffffffff,2.0,0.0,0.0
843c06bffffffff,1.0,0.0,0.0
843c0a3ffffffff,74.0,0.0,0.0
843c0a5ffffffff,20.0,0.0,0.0
843c0a7ffffffff,2.0,0.0,0.0
843c0a9ffffffff,2.0,0.0,0.0
843c0adffffffff,17.0,0.0,0.0
843c0b5ffffffff,117.0,0.0,0.0
843c0b7ffffffff,41.0,0.0,0.0
843c0bdffffffff,13.0,0.0,0.0
843c159ffffffff,1.0,0.0,0.0
843c199ffffffff,43.0,0.0,0.0
843c1d3ffffffff,21.0,0.0,0.0
843c1dbffffffff,2.0,0.0,0.0
843c315ffffffff,14.0,0.0,0.0
843c317ffffffff,4.0,0.0,0.0
843c341ffffffff,2.0,0.0,0.0
843c34bffffffff,2.0,0.0,0.0
843c521ffffffff,102.0,0.0,0.0
843c525ffffffff,18.0,0.0,0.0
843c527ffffffff,39.0,0.0,0.0
843c529ffffffff,2.0,0.0,0.0
843c52dffffffff,4.0,0.0,0.0
843c801ffffffff,2.0,0.0,0.0
843c80dffffffff,2.0,0.0,0.0
843c837ffffffff,1.0,0.0,0.0
843c8c1ffffffff,3.0,0.0,0.0
843c8cbffffffff,2.0,0.0,0.0
843c909ffffffff,52.0,0.0,0.0
843c929ffffffff,8.0,0.0,0.0
843c92bffffffff,2.0,0.0,0.0
843c92dffffffff,3.0,0.0,0.0
843c943ffffffff,12.0,0.0,0.0
843c947ffffffff,32.0,0.0,0.0
843c953ffffffff,1.0,0.0,0.0
843c957ffffffff,2.0,0.0,0.0
843c963ffffffff,3.0,0.0,0.0
843c967ffffffff,5.0,0.0,0.0
843ca01ffffffff,1.0,0.0,0.0
843ca23ffffffff,1.0,0.0,0.0
843ca33ffffffff,10.0,0.0,0.0
843ca3bffffffff,1.0,0.0,0.0
843ca41ffffffff,3.0,0.0,0.0
843ca45ffffffff,2.0,0.0,0.0
843ca47ffffffff,1.0,0.0,0.0
843cb01ffffffff,2.0,0.0,0.0
843cb09ffffffff,4.0,0.0,0.0
843cb11ffffffff,4.0,0.0,0.0
843cb13ffffffff,2.0,0.0,0.0
843cb1dffffffff,18.0,0.0,0.0
843cb39ffffffff,2.0,0.0,0.0
843cb3bffffffff,3.0,0.0,0.0
843cb45ffffffff,3.0,0.0,0.0
843cb4bffffffff,19.0,0.0,0.0
843cb4dffffffff,19.0,0.0,0.0
843cb51ffffffff,7.0,0.0,0.0
843cb59ffffffff,14.0,0.0,0.0
843cb5bffffffff,2.0,0.0,0.0
843cb5dffffffff,111.0,0.0,0.0
843cb65ffffffff,4.0,0.0,0.0
843cb69ffffffff,4.0,0.0,0.0
843cb6bffffffff,1.0,0.0,0.0
843cd8bffffffff,3.0,0.0,0.0
843cddbffffffff,1.0,0.0,0.0
843ce49ffffffff,2.0,0.0,0.0
843ce4bffffffff,6.0,0.0,0.0
843ce4dffffffff,14.0,0.0,0.0
843ce51ffffffff,7.0,0.0,0.0
843ce53ffffffff,9.0,0.0,0.0
843ce55ffffffff,1.0,0.0,0.0
843ce59ffffffff,20.0,0.0,0.0
843ce5bffffffff,11.0,0.0,0.0
843ce5dffffffff,33.0,0.0,0.0
843d101ffffffff,2.0,0.0,0.0
843d103ffffffff,190.0,0.0,0.0
843d107ffffffff,61.0,0.0,0.0
843d109ffffffff,80.0,0.0,0.0
843d10dffffffff,4.0,0.0,0.0
843d111ffffffff,25.0,0.0,0.0
843d115ffffffff,49.0,0.0,0.0
843d117ffffffff,2.0,0.0,0.0
843d11dffffffff,5.0,0.0,0.0
843d131ffffffff,31.0,0.0,0.0
843d133ffffffff,17.0,0.0,0.0
843d135ffffffff,23.0,0.0,0.0
843d137ffffffff,31.0,0.0,0.0
843d139ffffffff,143.0,0.0,0.0
843d13bffffffff,8.0,0.0,0.0
843d13dffffffff,26.0,0.0,0.0
843d143ffffffff,6.0,0.0,0.0
