cell_id,Megaceryle torquata,Megaceryle torquata torquata/stictipennis,Megaceryle torquata stellata
8326cafffffffff,1.0,0.0,0.0
8326dbfffffffff,1.0,0.0,0.0
834444fffffffff,40.0,0.0,0.0
83444cfffffffff,2.0,0.0,0.0
83446cfffffffff,4.0,0.0,0.0
834505fffffffff,4.0,0.0,0.0
83450afffffffff,12.0,0.0,0.0
834523fffffffff,2.0,0.0,0.0
834524fffffffff,3.0,0.0,0.0
834525fffffffff,1.0,0.0,0.0
83452afffffffff,28.0,1.0,0.0
83452cfffffffff,8.0,0.0,0.0
83452dfffffffff,1.0,0.0,0.0
83452efffffffff,16.0,0.0,0.0
834531fffffffff,9.0,0.0,0.0
834880fffffffff,1.0,0.0,0.0
834882fffffffff,4.0,0.0,0.0
834888fffffffff,23.0,0.0,0.0
83488efffffffff,10.0,0.0,0.0
834890fffffffff,2.0,0.0,0.0
834892fffffffff,2.0,0.0,0.0
834895fffffffff,70.0,0.0,0.0
834898fffffffff,25.0,0.0,0.0
834899fffffffff,8.0,0.0,0.0
83489afffffffff,19.0,1.0,0.0
83489cfffffffff,69.0,0.0,0.0
83489dfffffffff,14.0,0.0,0.0
83489efffffffff,19.0,0.0,0.0
8348b1fffffffff,2.0,1.0,0.0
8348b2fffffffff,3.0,3.0,0.0
8348b3fffffffff,6.0,0.0,0.0
8348d0fffffffff,1.0,0.0,0.0
8348eafffffffff,36.0,0.0,0.0
834986fffffffff,2.0,0.0,0.0
834992fffffffff,1.0,0.0,0.0
834995fffffffff,2.0,0.0,0.0
834996fffffffff,29.0,0.0,0.0
83499cfffffffff,2.0,0.0,0.0
8349b3fffffffff,11.0,0.0,0.0
835e43fffffffff,40.0,0.0,0.0
835f29fffffffff,1.0,0.0,0.0
835f58fffffffff,30.0,4.0,0.0
835f59fffffffff,2.0,0.0,0.0
835f5bfffffffff,5.0,3.0,0.0
83660bfffffffff,4.0,0.0,0.0
83660efffffffff,2.0,0.0,0.0
836610fffffffff,3.0,0.0,0.0
836613fffffffff,1.0,0.0,0.0
836616fffffffff,1.0,1.0,0.0
836621fffffffff,2.0,0.0,0.0
836622fffffffff,5.0,3.0,0.0
836623fffffffff,3.0,0.0,0.0
