cell_id,Rhabdotorrhinus exarhatus,Rhabdotorrhinus exarhatus exarhatus,Rhabdotorrhinus exarhatus sanfordi
8368c2fffffffff,5.0,0.0,0.0
8368c3fffffffff,5.0,0.0,0.0
8368c8fffffffff,140.0,51.0,0.0
8368cafffffffff,2.0,1.0,0.0
8368cefffffffff,55.0,33.0,0.0
8368d2fffffffff,4.0,0.0,0.0
8368ddfffffffff,27.0,5.0,0.0
839500fffffffff,49.0,16.0,12.0
83950dfffffffff,8.0,0.0,0.0
839521fffffffff,1.0,0.0,0.0
83952efffffffff,1.0,0.0,0.0
839576fffffffff,2.0,0.0,0.0
