cell_id,Caprimulgus nubicus,Caprimulgus nubicus nubicus/tamaricis,Caprimulgus nubicus torridus,Caprimulgus nubicus jonesi
842db25ffffffff,10.0,3.0,0.0,0.0
8452113ffffffff,5.0,0.0,0.0,0.0
84521a7ffffffff,1.0,0.0,0.0,0.0
84521c5ffffffff,27.0,0.0,0.0,0.0
84521e9ffffffff,3.0,0.0,0.0,0.0
8452341ffffffff,1.0,0.0,0.0,0.0
8452897ffffffff,1.0,0.0,0.0,0.0
8452aa3ffffffff,1.0,0.0,0.0,0.0
8452d41ffffffff,7.0,0.0,0.0,0.0
8452d47ffffffff,1.0,0.0,0.0,0.0
8452f41ffffffff,1.0,0.0,0.0,0.0
8452f4dffffffff,2.0,0.0,0.0,0.0
845316bffffffff,1.0,0.0,0.0,0.0
8453a97ffffffff,1.0,0.0,0.0,0.0
8453ad7ffffffff,9.0,0.0,0.0,0.0
8463a85ffffffff,1.0,0.0,0.0,0.0
8463ae5ffffffff,1.0,0.0,0.0,0.0
846a5b3ffffffff,4.0,0.0,0.0,0.0
846ac15ffffffff,1.0,0.0,0.0,0.0
846ac3dffffffff,3.0,0.0,0.0,0.0
846ae85ffffffff,1.0,0.0,0.0,0.0
847a509ffffffff,2.0,0.0,0.0,0.0
847a59bffffffff,1.0,0.0,0.0,0.0
847ac87ffffffff,1.0,0.0,0.0,0.0
847ad99ffffffff,3.0,0.0,0.0,0.0
847aee7ffffffff,1.0,0.0,0.0,0.0
