cell_id,Chalcites lucidus,Chalcites lucidus harterti,Chalcites lucidus layardi,Chalcites lucidus lucidus,Chalcites lucidus plagosus
8494237ffffffff,3.0,0.0,0.0,0.0,0.0
8494803ffffffff,5.0,0.0,0.0,0.0,0.0
8494911ffffffff,2.0,0.0,0.0,0.0,0.0
849c231ffffffff,1.0,0.0,0.0,0.0,0.0
849c851ffffffff,1.0,0.0,0.0,0.0,0.0
849c901ffffffff,5.0,0.0,0.0,0.0,0.0
849d241ffffffff,2.0,0.0,0.0,0.0,0.0
849e025ffffffff,1.0,0.0,1.0,0.0,0.0
84a71b3ffffffff,2.0,0.0,0.0,0.0,0.0
84a7335ffffffff,1.0,0.0,0.0,0.0,0.0
84b914dffffffff,2.0,0.0,0.0,0.0,0.0
84b9169ffffffff,2.0,0.0,0.0,0.0,0.0
84b9acbffffffff,2.0,0.0,0.0,0.0,2.0
84bb091ffffffff,8.0,0.0,0.0,0.0,0.0
84bb2dbffffffff,2.0,0.0,0.0,0.0,0.0
84bb509ffffffff,5.0,0.0,0.0,0.0,0.0
84bb53bffffffff,4.0,0.0,0.0,0.0,0.0
84be085ffffffff,6.0,0.0,0.0,0.0,2.0
84be089ffffffff,6.0,0.0,0.0,0.0,0.0
84be08dffffffff,1.0,0.0,0.0,0.0,0.0
84be0d5ffffffff,2.0,0.0,0.0,0.0,0.0
84be0e7ffffffff,2.0,0.0,0.0,0.0,2.0
84be415ffffffff,2.0,0.0,0.0,0.0,0.0
84be441ffffffff,8.0,0.0,0.0,0.0,2.0
84be45dffffffff,2.0,0.0,0.0,0.0,0.0
84be493ffffffff,2.0,0.0,0.0,0.0,0.0
84be4e3ffffffff,2.0,0.0,0.0,0.0,1.0
84be4e5ffffffff,5.0,0.0,0.0,0.0,0.0
84be4e9ffffffff,2.0,0.0,0.0,0.0,0.0
84be631ffffffff,10.0,0.0,0.0,0.0,0.0
84be633ffffffff,2.0,0.0,0.0,0.0,0.0
84be635ffffffff,5.0,0.0,0.0,0.0,0.0
84be63bffffffff,3.0,0.0,0.0,0.0,3.0
84be63dffffffff,2.0,0.0,0.0,0.0,0.0
84be681ffffffff,2.0,0.0,0.0,0.0,0.0
84be713ffffffff,6.0,0.0,0.0,0.0,6.0
84be71bffffffff,5.0,0.0,0.0,0.0,0.0
84be72dffffffff,24.0,0.0,0.0,0.0,0.0
84be89bffffffff,1.0,0.0,0.0,1.0,0.0
84be8d1ffffffff,22.0,0.0,0.0,17.0,1.0
84be8d9ffffffff,8.0,0.0,0.0,8.0,0.0
84be8dbffffffff,4.0,0.0,0.0,4.0,0.0
84beabbffffffff,1.0,0.0,0.0,0.0,0.0
84beae7ffffffff,1.0,0.0,0.0,1.0,0.0
84bef2dffffffff,3.0,0.0,0.0,3.0,0.0
84bf8b9ffffffff,3.0,0.0,0.0,1.0,0.0
84c9931ffffffff,7.0,0.0,0.0,0.0,0.0
84da821ffffffff,2.0,0.0,0.0,0.0,0.0
84da867ffffffff,4.0,0.0,0.0,0.0,0.0
84da94bffffffff,1.0,0.0,0.0,0.0,0.0
84da959ffffffff,2.0,0.0,0.0,0.0,0.0
84da9c9ffffffff,2.0,0.0,0.0,0.0,0.0
84dab37ffffffff,2.0,0.0,0.0,0.0,0.0
