cell_id,Anarhynchus alexandrinus,Anarhynchus alexandrinus alexandrinus/nihonensis,Anarhynchus alexandrinus seebohmi
83089afffffffff,3.0,0.0,0.0
8308b3fffffffff,1.0,0.0,0.0
830991fffffffff,4.0,0.0,0.0
831126fffffffff,1.0,0.0,0.0
831592fffffffff,1.0,0.0,0.0
831828fffffffff,3.0,0.0,0.0
831849fffffffff,2.0,0.0,0.0
83184afffffffff,2.0,0.0,0.0
83184bfffffffff,12.0,0.0,0.0
83184dfffffffff,2.0,0.0,0.0
83185bfffffffff,9.0,0.0,0.0
831941fffffffff,9.0,3.0,0.0
831943fffffffff,1.0,0.0,0.0
831948fffffffff,9.0,2.0,0.0
83194efffffffff,1.0,0.0,0.0
83195bfffffffff,12.0,0.0,0.0
83195dfffffffff,1.0,0.0,0.0
831969fffffffff,2.0,0.0,0.0
83196bfffffffff,2.0,0.0,0.0
83196dfffffffff,3.0,0.0,0.0
831e02fffffffff,7.0,1.0,0.0
831e04fffffffff,2.0,0.0,0.0
831e05fffffffff,2.0,0.0,0.0
831e06fffffffff,2.0,0.0,0.0
831e1bfffffffff,3.0,0.0,0.0
831e21fffffffff,1.0,0.0,0.0
831e2dfffffffff,2.0,0.0,0.0
831e8bfffffffff,2.0,0.0,0.0
831e96fffffffff,4.0,0.0,0.0
831ea0fffffffff,2.0,0.0,0.0
831ec9fffffffff,3.0,0.0,0.0
831edefffffffff,18.0,0.0,0.0
831eebfffffffff,9.0,0.0,0.0
831ef2fffffffff,19.0,11.0,0.0
831f05fffffffff,4.0,0.0,0.0
831f0efffffffff,3.0,0.0,0.0
831f21fffffffff,2.0,2.0,0.0
831f29fffffffff,3.0,0.0,0.0
831f72fffffffff,5.0,0.0,0.0
831f8efffffffff,2.0,0.0,0.0
832033fffffffff,4.0,0.0,0.0
8320e2fffffffff,3.0,0.0,0.0
832156fffffffff,2.0,2.0,0.0
832404fffffffff,1.0,1.0,0.0
832405fffffffff,2.0,2.0,0.0
832406fffffffff,4.0,2.0,0.0
83242dfffffffff,2.0,0.0,0.0
832431fffffffff,1.0,0.0,0.0
83244cfffffffff,3.0,3.0,0.0
832513fffffffff,9.0,9.0,0.0
8325acfffffffff,2.0,2.0,0.0
832c0bfffffffff,3.0,0.0,0.0
832c19fffffffff,5.0,0.0,0.0
832c21fffffffff,6.0,0.0,0.0
832c2afffffffff,2.0,0.0,0.0
832c40fffffffff,2.0,0.0,0.0
832c4cfffffffff,6.0,0.0,0.0
832c51fffffffff,27.0,0.0,0.0
832c93fffffffff,26.0,8.0,0.0
832ce4fffffffff,4.0,2.0,0.0
832ce5fffffffff,3.0,0.0,0.0
832d14fffffffff,1.0,1.0,0.0
832d33fffffffff,1.0,0.0,0.0
832d64fffffffff,9.0,0.0,0.0
