cell_id,Troglodytes troglodytes,Troglodytes troglodytes islandicus,Troglodytes troglodytes borealis,Troglodytes troglodytes zetlandicus,Troglodytes troglodytes hebridensis,Troglodytes troglodytes fridariensis,Troglodytes troglodytes hirtensis,Troglodytes troglodytes indigenus,Troglodytes troglodytes [troglodytes Group]
8407411ffffffff,30.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8407417ffffffff,97.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8407419ffffffff,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
840741dffffffff,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
840742dffffffff,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8407431ffffffff,92.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8407433ffffffff,69.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8407435ffffffff,8.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8407437ffffffff,59.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
840743bffffffff,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
840744bffffffff,22.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8407451ffffffff,13.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8407455ffffffff,32.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8407457ffffffff,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
840745dffffffff,25.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8407461ffffffff,98.0,61.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8407465ffffffff,39.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8407467ffffffff,51.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
840746dffffffff,12.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84074e9ffffffff,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84074edffffffff,20.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
840755bffffffff,8.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8407589ffffffff,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84075a9ffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84075c5ffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84075c7ffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84075cbffffffff,8.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84075d1ffffffff,62.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84075d9ffffffff,52.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84075ddffffffff,35.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84075e1ffffffff,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84075e3ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84075e5ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84075e9ffffffff,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84075ebffffffff,20.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84075edffffffff,14.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8407621ffffffff,65.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8407623ffffffff,64.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8407625ffffffff,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8407627ffffffff,10.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8407635ffffffff,82.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8407703ffffffff,18.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8407715ffffffff,8.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
840771dffffffff,8.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8407731ffffffff,22.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8407733ffffffff,127.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8407739ffffffff,22.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
840773bffffffff,109.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8407753ffffffff,7.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8408021ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8408065ffffffff,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8408115ffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
840811dffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8408133ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8408137ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
840813bffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8408149ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
840814dffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8408151ffffffff,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8408153ffffffff,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8408159ffffffff,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
840815bffffffff,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
8408193ffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
840819dffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84081e5ffffffff,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8408287ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
840829bffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84082a5ffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84082b7ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84082bdffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8408317ffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8408321ffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
840832dffffffff,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8408331ffffffff,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8408333ffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8408337ffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
840833bffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
840833dffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8408365ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
840836dffffffff,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8408805ffffffff,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8408809ffffffff,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
840880bffffffff,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
840880dffffffff,86.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8408829ffffffff,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
840882bffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
840882dffffffff,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8408831ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8408837ffffffff,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8408839ffffffff,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
840883dffffffff,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
8408841ffffffff,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8408843ffffffff,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8408845ffffffff,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8408847ffffffff,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
840884bffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
840884dffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8408855ffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8408863ffffffff,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8408865ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8408867ffffffff,210.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8408869ffffffff,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
840886bffffffff,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8408889ffffffff,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
840888bffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
840888dffffffff,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0
84088adffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84088b7ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84088e1ffffffff,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0
84088e3ffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
8408901ffffffff,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
840890dffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8408933ffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8408937ffffffff,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8408959ffffffff,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
840895bffffffff,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8408961ffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8408965ffffffff,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8408967ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
